,debtor_zip,debtor_rt,debtor_rw,debtor_birth_place,debtor_age,debtor_occupation,debtor_marital_status,debtor_gender,debtor_education_level,employment_type,number_of_dependents,net_income,payment_date,loan_amount,tenor,amount_of_late,late_payment_amount,credit_score,arrears_amounts,aset,aging,credit_risk,loss_reverse
744,67381,9,10,"Bengkulu, 26-03-1978",45,Pengusaha,Menikah,perempuan,S1,Full-time,2,21000000,3,60333333,18,62,3,662,1,13000000,DPK,Tertagih dengan resiko rendah,15083333
745,3300,11,4,"Maluku, 10-04-1968",55,Pegawai Negeri,Cerai mati,perempuan,SMA,Contract,5,5700000,2,59166667,19,26,2,244,0,4500000,DPK,Tertagih dengan resiko rendah,0
746,83444,1,6,"Banten, 13-04-1968",55,Pegawai Swasta,Cerai hidup,laki-laki,S2,Retired,2,13000000,5,55000000,4,30,1,462,1,12500000,DPK,Tertagih dengan resiko rendah,13750000
747,58389,7,17,"Kalimantan Barat, 27-11-1966",57,Pegawai Negeri,Menikah,perempuan,D2,Retired,3,15500000,6,64666667,13,105,6,103,1,17000000,Kurang lancar,Tertagih dengan resiko rendah,16166667
748,65439,9,19,"Maluku Utara, 02-06-1994",29,Pegawai Swasta,Cerai hidup,laki-laki,D3,Retired,5,10500000,6,57333333,11,65,3,208,1,5000000,DPK,Tertagih dengan resiko rendah,14333333
749,24657,5,19,"DKI Jakarta, 01-10-1973",50,Pegawai Swasta,Cerai mati,laki-laki,SMP,Part-time,1,2600000,6,25833333,2,133,6,66,2,9500000,Diragukan,Tidak tertagih dengan resiko tinggi,12916667
750,52121,16,9,"Bali, 25-04-1960",63,Pegawai Swasta,Menikah,laki-laki,SMA,Contract,1,8700000,5,68500000,1,69,4,452,1,6500000,DPK,Tertagih dengan resiko rendah,17125000
751,4719,4,8,"Riau, 24-12-2000",23,Pengusaha,Cerai hidup,perempuan,D1,Full-time,4,17500000,5,64000000,7,134,10,169,3,8500000,Diragukan,Tertagih dengan resiko tinggi,48000000
752,78857,5,12,"Kepulauan Bangka Belitung, 21-10-1984",39,Pegawai Swasta,Menikah,perempuan,S1,Full-time,3,24000000,9,65500000,12,156,8,290,2,8500000,Diragukan,Tertagih dengan resiko tinggi,32750000
753,94036,11,11,"Nusa Tenggara Barat, 14-09-1989",34,Pegawai Swasta,Belum menikah,perempuan,D2,Full-time,3,22500000,2,56500000,7,63,5,272,1,5000000,DPK,Tertagih dengan resiko rendah,14125000
754,17241,17,13,"Kalimantan Selatan, 04-04-1980",43,Pegawai Swasta,Belum menikah,perempuan,S3,Full-time,2,21000000,4,57500000,9,154,9,267,3,5000000,Diragukan,Tertagih dengan resiko tinggi,43125000
755,55479,18,16,"Banten, 12-06-1983",40,Buruh,Cerai hidup,perempuan,D1,Full-time,4,17500000,2,56333333,6,98,6,263,1,5000000,Kurang lancar,Tertagih dengan resiko rendah,14083333
756,90660,12,18,"Papua Barat, 09-08-1993",30,Pegawai Negeri,Menikah,perempuan,D2,Retired,3,10500000,1,55666667,13,104,5,295,2,3500000,Kurang lancar,Tertagih dengan resiko tinggi,27833333
757,36470,19,5,"Nusa Tenggara Timur, 14-12-1977",46,Pegawai Swasta,Menikah,perempuan,S1,Retired,4,18000000,5,68166667,9,169,10,258,2,7500000,Diragukan,Tertagih dengan resiko tinggi,34083333
758,55950,20,16,"Kalimantan Barat, 17-08-1999",24,Pengusaha,Belum menikah,perempuan,D3,Full-time,5,22500000,1,79666667,13,87,7,185,2,6000000,DPK,Tertagih dengan resiko tinggi,39833333
759,10723,4,10,"Sumatera Utara, 27-05-1976",47,Profesional,Cerai hidup,laki-laki,D3,Retired,5,11500000,5,60333333,3,79,7,359,1,9000000,DPK,Tertagih dengan resiko rendah,15083333
760,28885,5,5,"Jawa Timur, 27-01-1969",54,Pegawai Negeri,Menikah,perempuan,D3,Retired,3,10500000,3,58000000,2,24,2,242,1,4500000,DPK,Tertagih dengan resiko rendah,14500000
761,644,3,3,"Kalimantan Tengah, 26-04-1989",34,Pegawai Swasta,Cerai mati,perempuan,S2,Full-time,4,24000000,8,62833333,19,16,1,300,1,11500000,DPK,Tertagih dengan resiko rendah,15708333
762,52727,2,17,"Kepulauan Bangka Belitung, 26-03-1965",58,Pegawai Negeri,Menikah,laki-laki,S1,Retired,4,18000000,4,72833333,10,131,8,286,2,5500000,Diragukan,Tertagih dengan resiko tinggi,36416667
763,17828,13,2,"Maluku Utara, 11-01-1980",43,Pegawai Swasta,Menikah,perempuan,S2,Retired,3,13000000,9,61000000,13,73,3,390,1,8500000,DPK,Tertagih dengan resiko rendah,15250000
764,70058,14,11,"Maluku Utara, 25-11-1974",49,Profesional,Cerai mati,perempuan,D3,Full-time,5,17500000,1,65500000,14,171,10,134,2,8500000,Diragukan,Tertagih dengan resiko tinggi,32750000
765,24604,14,6,"Jawa Barat, 24-05-1998",25,Buruh,Cerai mati,perempuan,S1,Full-time,2,21000000,2,60666667,14,116,8,209,1,8000000,Kurang lancar,Tertagih dengan resiko rendah,15166667
766,48064,18,10,"Bali, 23-08-1998",25,Profesional,Cerai mati,laki-laki,SMP,Internship,1,200000,7,23500000,2,54,7,51,0,9000000,DPK,Tidak tertagih dengan resiko tinggi,0
767,32060,15,7,"Kalimantan Barat, 09-09-1963",60,Buruh,Cerai mati,laki-laki,D3,Retired,5,18500000,3,73333333,1,95,6,189,1,6500000,Kurang lancar,Tertagih dengan resiko rendah,18333333
768,33582,2,18,"Kalimantan Barat, 13-02-1960",63,Profesional,Menikah,perempuan,D1,Full-time,4,17500000,7,56166667,6,137,8,121,2,4500000,Diragukan,Tertagih dengan resiko tinggi,28083333
769,21710,18,5,"Papua Barat, 19-01-1984",39,Buruh,Cerai mati,perempuan,S2,Full-time,4,24000000,3,69500000,9,152,10,220,2,3500000,Diragukan,Tertagih dengan resiko tinggi,34750000
770,94807,17,3,"Kalimantan Tengah, 17-08-1969",54,Pegawai Swasta,Cerai hidup,laki-laki,S2,Full-time,4,19000000,5,59166667,12,97,8,208,1,5000000,Kurang lancar,Tertagih dengan resiko rendah,14791667
771,70815,14,10,"Banten, 10-12-1971",52,Pegawai Negeri,Belum menikah,laki-laki,S2,Self-employed,4,27000000,7,141333333,19,154,7,366,3,8500000,Diragukan,Tidak tertagih dengan resiko rendah,106000000
772,77731,12,1,"Papua Barat, 06-01-1990",33,Pegawai Negeri,Menikah,perempuan,D3,Retired,3,10500000,3,56333333,13,23,2,290,1,6500000,DPK,Tertagih dengan resiko rendah,14083333
773,98292,14,9,"Papua Barat, 13-04-1990",33,Pengusaha,Menikah,perempuan,D1,Retired,5,10500000,5,58000000,12,35,2,247,1,4000000,DPK,Tertagih dengan resiko rendah,14500000
774,54282,18,3,"Bali, 19-12-1985",38,Pengusaha,Cerai hidup,laki-laki,S1,Full-time,4,24000000,3,60166667,8,118,8,191,3,12500000,Kurang lancar,Tertagih dengan resiko tinggi,45125000
775,43134,6,18,"Sumatera Utara, 06-04-1992",31,Pegawai Negeri,Belum menikah,laki-laki,D2,Retired,3,15500000,3,74833333,22,23,2,554,1,5500000,DPK,Tertagih dengan resiko rendah,18708333
776,48453,7,20,"Lampung, 31-08-1978",45,Pegawai Negeri,Cerai mati,perempuan,SMA,Contract,1,6700000,8,59500000,19,59,3,429,1,5000000,DPK,Tertagih dengan resiko rendah,14875000
777,43581,8,11,"Sumatera Utara, 11-06-1974",49,Buruh,Cerai hidup,laki-laki,S2,Retired,4,13000000,4,54166667,7,24,2,436,1,6000000,DPK,Tertagih dengan resiko rendah,13541667
778,21746,3,4,"Kalimantan Utara, 31-07-1978",45,Pegawai Negeri,Belum menikah,laki-laki,S1,Retired,4,13000000,7,57666667,18,22,1,312,1,10500000,DPK,Tertagih dengan resiko rendah,14416667
779,47425,16,18,"Nusa Tenggara Barat, 11-08-1998",25,Pengusaha,Cerai mati,laki-laki,SMA,Contract,5,6700000,4,56000000,9,133,8,391,2,9500000,Diragukan,Tertagih dengan resiko tinggi,28000000
780,14009,20,12,"Kalimantan Tengah, 25-07-1984",39,Pegawai Negeri,Cerai mati,laki-laki,S1,Retired,4,22000000,8,67500000,14,123,7,164,3,4500000,Diragukan,Tertagih dengan resiko tinggi,50625000
781,44313,7,9,"Kepulauan Bangka Belitung, 26-11-1984",39,Pegawai Negeri,Menikah,perempuan,D3,Retired,3,10500000,7,58500000,16,32,3,316,0,6500000,DPK,Tertagih dengan resiko rendah,0
782,67340,7,4,"DKI Jakarta, 20-11-1991",32,Buruh,Belum menikah,perempuan,S1,Full-time,3,19000000,9,48833333,22,6,1,455,0,4000000,DPK,Tertagih dengan resiko rendah,0
783,3951,14,20,"Kalimantan Timur, 04-07-1999",24,Pegawai Negeri,Belum menikah,perempuan,S1,Retired,4,20000000,9,62666667,1,128,9,120,2,3500000,Diragukan,Tertagih dengan resiko tinggi,31333333
784,53289,2,8,"Nusa Tenggara Timur, 26-07-1979",44,Buruh,Menikah,laki-laki,S1,Retired,4,18000000,6,74333333,7,139,6,214,5,9000000,Diragukan,Tertagih dengan resiko tinggi,92916667
785,12875,15,20,"Papua, 29-10-1967",56,Pengusaha,Menikah,perempuan,D1,Retired,4,10500000,1,59833333,15,0,0,361,0,8000000,Lancar,Tertagih dengan resiko rendah,0
786,107,9,4,"Kalimantan Timur, 08-11-1973",50,Profesional,Cerai hidup,perempuan,S2,Retired,4,13000000,9,55666667,4,159,9,483,3,6000000,Diragukan,Tertagih dengan resiko tinggi,41750000
787,64602,17,16,"Maluku Utara, 02-02-1970",53,Pengusaha,Menikah,perempuan,D1,Retired,3,10500000,3,59000000,18,81,5,363,1,10500000,DPK,Tertagih dengan resiko rendah,14750000
788,87052,15,18,"Jawa Barat, 04-01-1962",61,Pegawai Swasta,Menikah,perempuan,S2,Retired,3,13000000,2,61333333,2,17,2,442,0,4500000,DPK,Tertagih dengan resiko rendah,0
789,48309,13,18,"Riau, 02-03-1969",54,Pegawai Negeri,Cerai mati,perempuan,D1,Full-time,5,17500000,7,73500000,7,89,7,183,2,6500000,DPK,Tertagih dengan resiko tinggi,36750000
790,65338,15,16,"Banten, 11-02-1969",54,Pegawai Swasta,Cerai hidup,perempuan,D3,Full-time,5,17500000,3,63666667,12,88,7,219,1,9500000,DPK,Tertagih dengan resiko rendah,15916667
791,8950,16,1,"Bengkulu, 11-12-1963",60,Buruh,Cerai hidup,perempuan,D1,Retired,5,10500000,8,56000000,10,63,4,247,1,7000000,DPK,Tertagih dengan resiko rendah,14000000
792,64122,1,20,"Aceh, 21-01-1964",59,Buruh,Menikah,perempuan,D3,Full-time,3,17500000,2,63333333,12,122,7,220,2,12000000,Diragukan,Tertagih dengan resiko tinggi,31666667
793,86643,9,16,"Jawa Tengah, 28-12-1990",33,Profesional,Cerai hidup,perempuan,D2,Retired,3,22500000,1,67666667,19,20,2,532,1,8500000,DPK,Tertagih dengan resiko rendah,16916667
794,21947,8,7,"Sulawesi Tenggara, 06-07-1991",32,Profesional,Menikah,laki-laki,D3,Retired,4,15500000,4,64500000,11,126,8,237,2,4000000,Diragukan,Tertagih dengan resiko tinggi,32250000
795,47708,12,17,"Nusa Tenggara Barat, 30-11-1997",26,Pengusaha,Cerai hidup,laki-laki,D2,Retired,5,10500000,9,59500000,13,81,5,228,1,8500000,DPK,Tertagih dengan resiko rendah,14875000
796,4715,15,17,"Gorontalo, 08-08-1983",40,Buruh,Cerai hidup,laki-laki,D1,Retired,3,18500000,9,57500000,22,28,1,629,1,8500000,DPK,Tertagih dengan resiko rendah,14375000
797,21699,1,4,"Sumatera Barat, 03-05-1988",35,Pegawai Swasta,Belum menikah,perempuan,D2,Retired,4,10500000,5,56833333,6,5,1,394,0,4000000,DPK,Tertagih dengan resiko rendah,0
798,29212,15,4,"Jawa Barat, 23-10-1996",27,Pegawai Swasta,Menikah,perempuan,D1,Retired,5,11500000,3,65666667,19,92,4,272,2,7500000,Kurang lancar,Tertagih dengan resiko tinggi,32833333
799,95945,16,11,"DKI Jakarta, 03-11-1980",43,Buruh,Menikah,laki-laki,S1,Retired,3,13000000,7,56166667,8,105,5,401,1,9000000,Kurang lancar,Tertagih dengan resiko rendah,14041667
800,4736,14,19,"Jawa Tengah, 18-01-1980",43,Pegawai Swasta,Cerai hidup,perempuan,D2,Full-time,3,17500000,1,57500000,24,23,1,490,1,6500000,DPK,Tertagih dengan resiko rendah,14375000
801,55034,20,16,"Kepulauan Bangka Belitung, 15-09-1992",31,Buruh,Belum menikah,laki-laki,D3,Retired,3,15500000,5,62666667,13,116,9,238,2,9000000,Kurang lancar,Tertagih dengan resiko tinggi,31333333
802,56731,19,18,"Riau, 14-05-1969",54,Pegawai Negeri,Menikah,laki-laki,D2,Full-time,4,25500000,8,134333333,20,77,6,209,1,8500000,DPK,Tidak tertagih dengan resiko rendah,33583333
803,60101,15,4,"Kalimantan Selatan, 07-08-1977",46,Pengusaha,Menikah,laki-laki,SMA,Contract,2,6700000,7,54666667,8,2,1,446,0,10500000,DPK,Tertagih dengan resiko rendah,0
804,42300,11,13,"Nusa Tenggara Timur, 05-10-1989",34,Pegawai Negeri,Cerai mati,laki-laki,S1,Retired,2,18000000,3,69833333,23,30,1,530,1,6000000,DPK,Tertagih dengan resiko rendah,17458333
805,57412,3,8,"Maluku, 28-07-1982",41,Buruh,Cerai mati,laki-laki,D1,Contract,3,5500000,2,51833333,7,52,4,454,1,13000000,DPK,Tertagih dengan resiko rendah,12958333
806,31561,4,20,"Kalimantan Utara, 09-09-1973",50,Pengusaha,Cerai hidup,laki-laki,S2,Full-time,2,21000000,4,41833333,18,18,3,596,0,6000000,DPK,Tertagih dengan resiko rendah,0
807,17717,11,7,"Nusa Tenggara Timur, 07-02-1963",60,Pengusaha,Belum menikah,perempuan,D2,Retired,3,10500000,7,62666667,10,55,3,290,1,17500000,DPK,Tertagih dengan resiko rendah,15666667
808,68940,3,14,"Sulawesi Utara, 18-06-1972",51,Buruh,Menikah,laki-laki,SMP,Part-time,1,680000,5,19333333,1,66,4,75,3,6000000,DPK,Tidak tertagih dengan resiko tinggi,14500000
809,44724,11,8,"Bali, 11-11-1989",34,Pegawai Negeri,Menikah,laki-laki,SMP,Internship,5,2600000,5,23000000,1,125,8,73,3,3500000,Diragukan,Tidak tertagih dengan resiko tinggi,17250000
810,74469,8,16,"Papua, 29-07-1987",36,Pegawai Negeri,Cerai mati,perempuan,D3,Full-time,3,22500000,3,60833333,23,77,4,466,1,8000000,DPK,Tertagih dengan resiko rendah,15208333
811,77558,7,2,"Sulawesi Selatan, 17-10-1990",33,Profesional,Cerai mati,perempuan,D2,Retired,5,10500000,8,59833333,13,20,2,227,0,21000000,DPK,Tertagih dengan resiko rendah,0
812,73192,1,13,"Kepulauan Bangka Belitung, 15-07-1963",60,Pegawai Negeri,Menikah,perempuan,D3,Retired,4,10500000,6,61500000,9,148,9,352,2,9000000,Diragukan,Tertagih dengan resiko tinggi,30750000
813,48864,2,14,"DKI Jakarta, 28-03-1963",60,Pengusaha,Cerai mati,laki-laki,SD,Part-time,1,2120000,7,22666667,2,114,8,85,2,10000000,Kurang lancar,Tidak tertagih dengan resiko tinggi,11333333
814,50337,5,9,"Kalimantan Selatan, 11-02-1995",28,Profesional,Cerai hidup,perempuan,SMA,Contract,6,11700000,2,57666667,6,23,2,352,0,8500000,DPK,Tertagih dengan resiko rendah,0
815,66832,12,1,"Sulawesi Tenggara, 07-01-1979",44,Pengusaha,Belum menikah,perempuan,S2,Retired,2,13000000,4,62333333,15,23,1,485,1,8000000,DPK,Tertagih dengan resiko rendah,15583333
816,16640,8,19,"Riau, 22-10-1975",48,Profesional,Menikah,laki-laki,S1,Retired,3,13000000,3,63833333,5,91,5,309,2,27500000,Kurang lancar,Tertagih dengan resiko tinggi,31916667
817,93636,14,15,"Jawa Timur, 20-05-1980",43,Profesional,Menikah,laki-laki,D1,Full-time,4,25500000,5,136500000,4,83,7,355,1,7500000,DPK,Tidak tertagih dengan resiko rendah,34125000
818,78603,7,12,"Jambi, 01-09-1993",30,Pengusaha,Cerai hidup,perempuan,D3,Retired,4,10500000,2,59833333,10,51,2,203,1,7500000,DPK,Tertagih dengan resiko rendah,14958333
819,9442,16,9,"Nusa Tenggara Timur, 08-09-1993",30,Pengusaha,Cerai mati,perempuan,S1,Retired,2,23000000,3,62500000,12,120,7,254,2,5500000,Kurang lancar,Tertagih dengan resiko tinggi,31250000
820,13866,1,10,"DI Yogyakarta, 08-09-1976",47,Buruh,Menikah,laki-laki,S1,Retired,4,13000000,1,61833333,17,0,0,466,0,11500000,Lancar,Tertagih dengan resiko rendah,0
821,89630,4,15,"Papua Barat, 28-02-1975",48,Pengusaha,Cerai mati,perempuan,S1,Retired,2,18000000,4,52666667,11,86,5,265,1,4000000,DPK,Tertagih dengan resiko rendah,13166667
822,21454,10,5,"Aceh, 06-03-1978",45,Profesional,Cerai hidup,laki-laki,D2,Full-time,4,17500000,3,61833333,12,181,9,128,3,5500000,Macet,Tertagih dengan resiko tinggi,46375000
823,5847,12,15,"Jawa Tengah, 23-06-1994",29,Pegawai Negeri,Menikah,laki-laki,S1,Full-time,2,26000000,9,138166667,32,25,1,647,1,7500000,DPK,Tidak tertagih dengan resiko rendah,34541667
824,44137,6,19,"Jambi, 30-12-1985",38,Profesional,Cerai hidup,perempuan,S1,Retired,2,18000000,4,68500000,11,50,6,257,1,3000000,DPK,Tertagih dengan resiko rendah,17125000
825,12651,14,4,"Kepulauan Bangka Belitung, 25-11-2000",23,Pengusaha,Menikah,laki-laki,D3,Retired,4,10500000,3,57333333,7,98,4,330,2,4000000,Kurang lancar,Tertagih dengan resiko tinggi,28666667
826,82438,7,3,"Kalimantan Selatan, 28-12-1983",40,Buruh,Menikah,perempuan,D2,Retired,3,18500000,6,83166667,16,70,6,618,1,17000000,DPK,Tertagih dengan resiko rendah,20791667
827,52683,12,2,"Kalimantan Barat, 20-03-1993",30,Pengusaha,Cerai mati,perempuan,SMA,Contract,5,8700000,9,58500000,11,55,4,335,1,8000000,DPK,Tertagih dengan resiko rendah,14625000
828,22092,20,4,"Kepulauan Riau, 22-11-1983",40,Profesional,Cerai hidup,perempuan,S3,Retired,4,13000000,5,62333333,1,40,2,485,1,9000000,DPK,Tertagih dengan resiko rendah,15583333
829,77213,1,3,"Sulawesi Selatan, 08-08-1968",55,Profesional,Menikah,laki-laki,S1,Retired,2,18000000,7,57833333,23,0,0,688,0,15500000,Lancar,Tertagih dengan resiko rendah,0
830,14996,11,17,"Nusa Tenggara Barat, 10-02-1998",25,Buruh,Menikah,perempuan,D2,Full-time,3,17500000,5,77000000,19,24,2,599,1,4000000,DPK,Tertagih dengan resiko rendah,19250000
831,87836,14,18,"Lampung, 30-07-1980",43,Pengusaha,Cerai mati,laki-laki,S1,Full-time,2,21000000,6,52500000,19,31,2,595,1,5500000,DPK,Tertagih dengan resiko rendah,13125000
832,93085,12,13,"Nusa Tenggara Timur, 16-01-1980",43,Buruh,Belum menikah,perempuan,S1,Self-employed,2,26000000,4,135000000,33,17,1,452,1,13500000,DPK,Tidak tertagih dengan resiko rendah,33750000
833,84388,6,12,"Kalimantan Selatan, 13-02-1986",37,Profesional,Menikah,perempuan,S1,Retired,4,21000000,8,78666667,5,124,7,272,2,18500000,Diragukan,Tertagih dengan resiko tinggi,39333333
834,93191,2,17,"Jawa Tengah, 05-11-1972",51,Profesional,Cerai hidup,perempuan,SMA,Contract,6,5700000,2,54166667,10,105,7,258,2,13000000,Kurang lancar,Tertagih dengan resiko tinggi,27083333
835,69859,3,5,"Sulawesi Selatan, 25-03-1995",28,Pegawai Negeri,Cerai mati,laki-laki,D1,Full-time,4,25500000,4,140500000,3,54,5,362,1,18500000,DPK,Tidak tertagih dengan resiko rendah,35125000
836,93108,8,7,"Kalimantan Selatan, 07-09-1965",58,Pegawai Negeri,Cerai hidup,laki-laki,D1,Full-time,3,26500000,9,140166667,34,24,2,520,1,14500000,DPK,Tidak tertagih dengan resiko rendah,35041667
837,6116,19,20,"Kepulauan Riau, 09-10-1998",25,Pengusaha,Belum menikah,perempuan,D3,Retired,3,10500000,1,57666667,14,77,4,391,1,6500000,DPK,Tertagih dengan resiko rendah,14416667
838,60678,13,6,"Jawa Timur, 16-11-1973",50,Pegawai Negeri,Cerai mati,perempuan,SMA,Contract,2,8700000,8,58666667,10,76,4,359,1,7500000,DPK,Tertagih dengan resiko rendah,14666667
839,59247,8,1,"Kalimantan Tengah, 07-02-1964",59,Buruh,Belum menikah,perempuan,S1,Full-time,2,29000000,1,140333333,26,24,2,634,1,17500000,DPK,Tidak tertagih dengan resiko rendah,35083333
840,91587,10,13,"DKI Jakarta, 15-10-1993",30,Buruh,Menikah,perempuan,SMA,Not-employed,1,4700000,1,21166667,1,60,8,64,1,8500000,DPK,Tidak tertagih dengan resiko tinggi,5291667
841,40746,16,9,"Sumatera Utara, 31-05-1983",40,Profesional,Cerai hidup,laki-laki,S1,Retired,2,13000000,3,62833333,1,20,1,307,1,8000000,DPK,Tertagih dengan resiko rendah,15708333
842,85708,13,9,"Sulawesi Tengah, 15-04-1995",28,Pegawai Negeri,Cerai mati,laki-laki,SMA,Part-time,1,4700000,6,17833333,1,157,8,83,3,14500000,Diragukan,Tidak tertagih dengan resiko tinggi,13375000
843,90931,5,15,"Jambi, 16-11-1965",58,Buruh,Cerai mati,perempuan,SMP,Not-employed,2,200000,3,21833333,1,184,9,90,2,24500000,Macet,Tidak tertagih dengan resiko tinggi,10916667
844,90266,2,2,"Kepulauan Riau, 23-11-1978",45,Pegawai Negeri,Cerai hidup,perempuan,D3,Retired,5,15500000,7,73000000,14,85,8,104,3,9500000,DPK,Tertagih dengan resiko tinggi,54750000
845,74292,15,7,"Kalimantan Timur, 14-02-1980",43,Buruh,Menikah,laki-laki,D3,Full-time,5,25500000,1,143000000,17,113,7,122,1,36500000,Kurang lancar,Tidak tertagih dengan resiko rendah,35750000
846,54778,12,6,"Kepulauan Riau, 23-11-1991",32,Pegawai Swasta,Menikah,laki-laki,S1,Retired,4,21000000,8,69000000,11,81,8,242,1,18000000,DPK,Tertagih dengan resiko rendah,17250000
847,683,2,15,"DKI Jakarta, 27-11-1973",50,Buruh,Belum menikah,perempuan,S2,Retired,2,13000000,3,59333333,8,131,6,393,3,7000000,Diragukan,Tertagih dengan resiko tinggi,44500000
848,1685,2,11,"Kalimantan Timur, 16-03-1961",62,Pegawai Negeri,Menikah,perempuan,D3,Full-time,5,22500000,7,62833333,15,21,2,343,0,7000000,DPK,Tertagih dengan resiko rendah,0
849,39109,13,11,"Maluku, 11-07-1987",36,Pegawai Swasta,Cerai hidup,laki-laki,D2,Retired,4,10500000,2,57500000,9,73,4,252,1,6500000,DPK,Tertagih dengan resiko rendah,14375000
850,29442,20,6,"DKI Jakarta, 06-07-1966",57,Profesional,Belum menikah,laki-laki,S1,Retired,2,13000000,6,59500000,17,85,5,407,1,8500000,DPK,Tertagih dengan resiko rendah,14875000
851,52855,2,6,"Maluku Utara, 04-08-1997",26,Pengusaha,Belum menikah,perempuan,D3,Full-time,3,27500000,8,139000000,33,32,3,483,1,9500000,DPK,Tidak tertagih dengan resiko rendah,34750000
852,37823,14,18,"Kalimantan Tengah, 21-04-1983",40,Pegawai Negeri,Cerai mati,perempuan,D1,Retired,4,16500000,5,50000000,4,62,6,259,1,14500000,DPK,Tertagih dengan resiko rendah,12500000
853,78923,20,19,"Maluku Utara, 28-04-1970",53,Buruh,Cerai mati,perempuan,D2,Full-time,5,22500000,4,78500000,12,91,5,181,2,8500000,Kurang lancar,Tertagih dengan resiko tinggi,39250000
854,52241,4,19,"Kepulauan Bangka Belitung, 26-04-1966",57,Buruh,Belum menikah,perempuan,D1,Retired,3,10500000,1,59000000,11,2,1,231,0,5500000,DPK,Tertagih dengan resiko rendah,0
855,9156,9,13,"DKI Jakarta, 03-04-1963",60,Buruh,Cerai hidup,perempuan,S1,Full-time,4,24000000,3,53666667,21,62,3,359,2,17500000,DPK,Tertagih dengan resiko tinggi,26833333
856,59547,10,14,"Kalimantan Timur, 02-11-1988",35,Pegawai Negeri,Cerai mati,perempuan,D2,Retired,3,18500000,6,78833333,24,70,4,594,1,4000000,DPK,Tertagih dengan resiko rendah,19708333
857,17856,2,6,"Sulawesi Tenggara, 14-06-1999",24,Buruh,Menikah,perempuan,D3,Full-time,3,22500000,8,56166667,17,0,0,471,0,9000000,Lancar,Tertagih dengan resiko rendah,0
858,67980,6,16,"Jawa Barat, 18-02-1961",62,Profesional,Menikah,laki-laki,S1,Retired,4,13000000,1,66833333,3,29,1,420,1,9500000,DPK,Tertagih dengan resiko rendah,16708333
859,26450,8,12,"Lampung, 19-10-1981",42,Profesional,Cerai hidup,laki-laki,S1,Contract,2,21000000,9,52833333,23,70,4,554,2,7000000,DPK,Tertagih dengan resiko rendah,26416667
860,61101,2,8,"Bali, 30-01-1995",28,Pengusaha,Cerai mati,laki-laki,SMP,Part-time,7,200000,1,14000000,1,118,8,1,1,7000000,Kurang lancar,Tidak tertagih dengan resiko tinggi,3500000
861,35470,15,12,"Kalimantan Selatan, 16-03-1987",36,Pengusaha,Menikah,perempuan,D3,Retired,3,15500000,5,59666667,15,22,1,651,1,9000000,DPK,Tertagih dengan resiko rendah,14916667
862,63192,4,3,"Jawa Tengah, 22-09-1978",45,Profesional,Cerai mati,laki-laki,SMA,Contract,2,9700000,4,58166667,3,83,4,421,3,4500000,DPK,Tertagih dengan resiko tinggi,43625000
863,9562,9,16,"Sulawesi Tengah, 24-02-1968",55,Pengusaha,Cerai mati,laki-laki,S1,Contract,3,24000000,1,81666667,5,109,8,246,2,15000000,Kurang lancar,Tertagih dengan resiko tinggi,40833333
864,10731,18,19,"DI Yogyakarta, 14-01-1997",26,Profesional,Menikah,perempuan,D1,Full-time,5,17500000,6,55833333,12,92,8,241,1,25000000,Kurang lancar,Tertagih dengan resiko rendah,13958333
865,75957,14,9,"Papua, 19-04-1976",47,Profesional,Cerai hidup,laki-laki,D1,Retired,5,10500000,9,59500000,2,88,4,393,2,15000000,DPK,Tertagih dengan resiko tinggi,29750000
866,838,16,8,"Sulawesi Utara, 16-05-1960",63,Pegawai Negeri,Menikah,laki-laki,D1,Retired,3,15500000,1,63833333,16,36,2,600,1,5000000,DPK,Tertagih dengan resiko rendah,15958333
867,89440,1,14,"Sulawesi Barat, 06-11-1986",37,Buruh,Cerai hidup,perempuan,D2,Full-time,4,18500000,3,77666667,1,107,8,285,2,3000000,Kurang lancar,Tertagih dengan resiko tinggi,38833333
868,23711,20,3,"Bengkulu, 03-08-1961",62,Profesional,Cerai hidup,laki-laki,SD,Not-employed,0,2600000,9,22000000,1,102,6,54,2,8000000,Kurang lancar,Tidak tertagih dengan resiko tinggi,11000000
869,33098,2,18,"Sulawesi Tengah, 23-04-1960",63,Buruh,Cerai hidup,perempuan,S1,Retired,4,13000000,3,52833333,14,49,3,488,1,8500000,DPK,Tertagih dengan resiko rendah,13208333
870,99351,9,10,"Sulawesi Selatan, 09-09-1963",60,Pegawai Swasta,Cerai hidup,perempuan,D1,Contract,3,22500000,4,66166667,24,7,1,534,0,16000000,DPK,Tertagih dengan resiko rendah,0
871,25194,1,10,"Kalimantan Utara, 26-06-1982",41,Pegawai Negeri,Cerai hidup,laki-laki,SD,Not-employed,1,2600000,4,19333333,1,94,6,71,2,6000000,Kurang lancar,Tidak tertagih dengan resiko tinggi,9666667
872,75801,11,17,"Nusa Tenggara Timur, 18-07-1998",25,Pegawai Negeri,Menikah,laki-laki,D3,Full-time,4,17500000,1,71666667,9,178,8,227,2,21500000,Diragukan,Tertagih dengan resiko tinggi,35833333
873,32682,15,18,"Bali, 20-10-1982",41,Buruh,Belum menikah,perempuan,D3,Retired,3,15500000,5,51000000,22,27,1,635,1,4500000,DPK,Tertagih dengan resiko rendah,12750000
