,time_to_collect,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,collector_age,collector_marital_status,collector_gender
319,11,panggilan,34,197000000,497000000,10807960,40.0,44,Cerai hidup,laki-laki
320,6,surat panggilan,39,237000000,263500000,2448993,90.0,40,Belum menikah,laki-laki
321,3,sms or WA,11,22700000,86100000,379645,26.0,47,Menikah,laki-laki
322,22,datang ke tempat,34,496000000,749000000,201439418,66.0,46,Cerai hidup,perempuan
323,19,datang ke tempat,31,432000000,950000000,248152647,45.0,53,Belum menikah,perempuan
324,23,datang ke tempat,52,106000000,324500000,198835244,33.0,30,Belum menikah,perempuan
325,1,sms or WA,11,4900000,17400000,481146,28.000000000000004,26,Cerai mati,laki-laki
326,2,sms or WA,12,9100000,32500000,234396,28.000000000000004,27,Cerai hidup,perempuan
327,24,datang ke tempat,40,266000000,927500000,287639519,29.0,55,Cerai mati,perempuan
328,12,panggilan,30,284000000,487000000,58222548,57.99999999999999,42,Menikah,perempuan
329,12,panggilan,45,599000000,851500000,9296271,70.0,36,Menikah,perempuan
330,4,sms or WA,12,77500000,110400000,195425,70.0,39,Cerai hidup,laki-laki
331,18,datang ke tempat,51,746000000,1579500000,143506842,47.0,43,Cerai hidup,perempuan
332,21,datang ke tempat,54,590000000,768000000,403812842,77.0,55,Belum menikah,perempuan
333,4,sms or WA,2,5400000,13900000,109167,39.0,36,Cerai hidup,laki-laki
334,4,sms or WA,1,2000000,3200000,73260,62.0,48,Menikah,perempuan
335,8,surat panggilan,29,54000000,60500000,1477944,89.0,42,Cerai mati,perempuan
336,4,sms or WA,14,30700000,115200000,586418,27.0,59,Belum menikah,laki-laki
337,12,panggilan,38,217000000,347000000,47784162,63.0,36,Belum menikah,laki-laki
338,19,datang ke tempat,60,222000000,237000000,85994072,94.0,42,Belum menikah,perempuan
339,0,sms or WA,10,22500000,46700000,204808,48.0,50,Belum menikah,laki-laki
340,0,sms or WA,3,4600000,22700000,114859,20.0,45,Belum menikah,perempuan
341,21,datang ke tempat,58,276000000,2000000000,297683468,14.000000000000002,25,Cerai hidup,perempuan
342,7,surat panggilan,31,87000000,129000000,1723602,67.0,49,Menikah,perempuan
343,21,datang ke tempat,46,676000000,1440500000,294880019,47.0,63,Belum menikah,laki-laki
344,24,datang ke tempat,51,460000000,790500000,345704642,57.99999999999999,49,Belum menikah,laki-laki
345,15,panggilan,47,265000000,444500000,84752585,60.0,46,Belum menikah,perempuan
346,24,datang ke tempat,64,1136000000,1440500000,210318634,79.0,53,Cerai hidup,laki-laki
347,27,datang ke tempat,41,178000000,1174000000,351147274,15.0,33,Cerai mati,perempuan
348,22,datang ke tempat,65,366000000,689500000,269566748,53.0,23,Belum menikah,laki-laki
349,5,sms or WA,1,6300000,8700000,35289,72.0,38,Cerai hidup,perempuan
350,22,datang ke tempat,66,1454000000,1920000000,124765901,76.0,45,Cerai mati,perempuan
351,24,datang ke tempat,60,1492000000,1959000000,126078614,76.0,62,Menikah,laki-laki
352,26,datang ke tempat,45,114000000,151500000,130647715,75.0,38,Cerai hidup,perempuan
353,4,sms or WA,19,49400000,50000000,190302,99.0,41,Belum menikah,perempuan
354,23,datang ke tempat,43,312000000,648500000,366873461,48.0,27,Belum menikah,perempuan
355,11,panggilan,43,71000000,136500000,58756206,52.0,26,Belum menikah,perempuan
356,5,sms or WA,13,12600000,129200000,243723,10.0,49,Cerai mati,perempuan
357,19,datang ke tempat,31,96000000,140000000,216037629,69.0,30,Cerai mati,perempuan
358,21,datang ke tempat,35,79000000,79000000,236650242,100.0,25,Menikah,perempuan
359,7,surat panggilan,34,119000000,211000000,2332678,56.00000000000001,34,Belum menikah,laki-laki
360,13,panggilan,32,426000000,544000000,21831845,78.0,43,Belum menikah,laki-laki
361,15,panggilan,40,694000000,713000000,37883280,97.0,59,Menikah,laki-laki
362,22,datang ke tempat,68,596000000,662500000,419273209,90.0,45,Cerai mati,perempuan
363,23,datang ke tempat,63,172000000,405000000,390733556,42.0,25,Belum menikah,perempuan
364,26,datang ke tempat,66,576000000,642000000,161378367,90.0,29,Cerai hidup,perempuan
365,26,datang ke tempat,69,768000000,1815000000,519288735,42.0,43,Belum menikah,laki-laki
366,26,datang ke tempat,59,700000000,1037500000,496348580,67.0,37,Menikah,laki-laki
367,25,datang ke tempat,35,634000000,817000000,48987398,78.0,27,Belum menikah,perempuan
368,12,panggilan,34,359000000,363000000,62609289,99.0,44,Belum menikah,laki-laki
369,29,datang ke tempat,58,392000000,600500000,562042839,65.0,27,Cerai mati,laki-laki
370,14,panggilan,48,604000000,620000000,67876083,97.0,32,Belum menikah,perempuan
371,19,datang ke tempat,41,204000000,260500000,372608584,78.0,41,Belum menikah,perempuan
372,23,datang ke tempat,60,346000000,843000000,202468896,41.0,61,Cerai hidup,laki-laki
373,10,surat panggilan,24,14000000,192000000,2203793,7.000000000000001,28,Cerai hidup,laki-laki
374,3,sms or WA,17,49700000,114700000,810349,43.0,25,Cerai mati,perempuan
375,2,sms or WA,14,75900000,121300000,226037,63.0,30,Belum menikah,perempuan
376,20,datang ke tempat,35,306000000,736000000,297963787,42.0,59,Cerai mati,laki-laki
377,24,datang ke tempat,59,236000000,517000000,184956899,46.0,54,Cerai mati,laki-laki
378,10,surat panggilan,33,57000000,114500000,1982095,50.0,33,Menikah,perempuan
379,0,sms or WA,10,4300000,6000000,456333,72.0,45,Belum menikah,laki-laki
380,20,datang ke tempat,48,774000000,1131000000,252461432,68.0,47,Cerai mati,laki-laki
381,3,sms or WA,7,56200000,59000000,102870,95.0,59,Belum menikah,perempuan
382,10,surat panggilan,34,53500000,455000000,3288171,12.0,47,Cerai hidup,laki-laki
383,3,sms or WA,14,36400000,36800000,348344,99.0,60,Menikah,laki-laki
384,22,datang ke tempat,50,598000000,1262500000,499330355,47.0,53,Cerai mati,laki-laki
385,7,surat panggilan,30,121500000,122500000,1981012,99.0,29,Cerai mati,laki-laki
386,1,sms or WA,9,30500000,42900000,412018,71.0,34,Menikah,laki-laki
387,21,datang ke tempat,59,358000000,542500000,352627675,66.0,23,Belum menikah,perempuan
388,15,panggilan,38,79000000,93000000,13393047,85.0,27,Cerai hidup,laki-laki
389,14,panggilan,32,45000000,199000000,44464129,23.0,24,Menikah,laki-laki
390,8,surat panggilan,32,71500000,242000000,3195815,30.0,40,Cerai hidup,perempuan
391,7,surat panggilan,25,46000000,85000000,2167798,54.0,63,Cerai hidup,perempuan
392,22,datang ke tempat,42,202000000,219000000,278863040,92.0,25,Belum menikah,perempuan
393,19,datang ke tempat,39,146000000,309000000,292982172,47.0,32,Menikah,laki-laki
394,12,panggilan,38,101000000,468000000,58069870,22.0,61,Belum menikah,perempuan
395,10,surat panggilan,29,124500000,300500000,2483885,41.0,46,Cerai hidup,laki-laki
396,14,panggilan,48,77000000,193000000,79183417,40.0,61,Cerai hidup,perempuan
397,1,sms or WA,8,4100000,4200000,368898,98.0,30,Belum menikah,perempuan
398,10,surat panggilan,22,93500000,188000000,1470714,50.0,31,Cerai mati,laki-laki
399,9,surat panggilan,35,52500000,85000000,3597304,62.0,55,Belum menikah,laki-laki
400,12,panggilan,33,175000000,357500000,18138894,49.0,45,Cerai mati,laki-laki
401,18,datang ke tempat,66,1528000000,2110500000,654033513,72.0,23,Belum menikah,perempuan
402,25,datang ke tempat,35,202000000,248500000,206977904,81.0,46,Belum menikah,laki-laki
403,11,panggilan,43,62000000,309500000,41180540,20.0,37,Cerai hidup,perempuan
404,4,sms or WA,12,62800000,85000000,162643,74.0,30,Menikah,perempuan
405,24,datang ke tempat,62,272000000,1309000000,419667546,21.0,31,Belum menikah,perempuan
406,16,datang ke tempat,47,262000000,364000000,225631287,72.0,31,Cerai hidup,laki-laki
407,18,datang ke tempat,66,138000000,1770000000,340750599,8.0,59,Belum menikah,perempuan
408,17,datang ke tempat,54,166000000,186000000,456826993,89.0,37,Cerai mati,laki-laki
409,9,surat panggilan,26,133500000,141000000,2233690,95.0,46,Cerai mati,perempuan
410,28,datang ke tempat,55,798000000,1338500000,296086561,60.0,33,Cerai hidup,perempuan
411,15,panggilan,32,399000000,523000000,43967939,76.0,30,Menikah,perempuan
412,1,sms or WA,17,40400000,90300000,796140,45.0,62,Cerai mati,laki-laki
413,23,datang ke tempat,51,606000000,922500000,57548826,66.0,50,Menikah,perempuan
414,14,panggilan,40,100000000,169000000,23130774,59.0,61,Menikah,perempuan
415,14,panggilan,30,97000000,141000000,45617280,69.0,39,Cerai hidup,perempuan
416,4,sms or WA,12,32300000,51000000,295786,63.0,48,Cerai mati,perempuan
417,9,surat panggilan,30,229500000,429500000,2879807,53.0,27,Menikah,perempuan
418,28,datang ke tempat,68,424000000,682000000,595333415,62.0,53,Menikah,laki-laki
419,24,datang ke tempat,38,424000000,778000000,216772517,54.0,43,Menikah,perempuan
420,22,datang ke tempat,42,570000000,1093500000,117844205,52.0,37,Cerai hidup,perempuan
421,17,datang ke tempat,68,552000000,2234500000,134104069,25.0,42,Belum menikah,laki-laki
422,25,datang ke tempat,44,200000000,619000000,234019230,32.0,61,Belum menikah,perempuan
423,6,surat panggilan,23,232500000,255000000,1169563,91.0,34,Menikah,laki-laki
424,2,sms or WA,2,8300000,13100000,72033,63.0,48,Cerai hidup,laki-laki
425,28,datang ke tempat,35,640000000,853000000,59737478,75.0,33,Menikah,laki-laki
426,12,panggilan,36,484000000,652000000,30242112,74.0,45,Cerai mati,laki-laki
427,17,datang ke tempat,52,230000000,1043000000,168709993,22.0,30,Cerai mati,laki-laki
428,6,surat panggilan,29,94000000,185500000,1728270,51.0,33,Cerai mati,laki-laki
429,11,panggilan,48,222000000,558000000,37226650,40.0,52,Belum menikah,laki-laki
430,23,datang ke tempat,36,128000000,1215000000,307905571,11.0,46,Cerai hidup,perempuan
431,6,surat panggilan,23,55500000,86500000,2042730,64.0,25,Menikah,perempuan
432,23,datang ke tempat,65,442000000,1063000000,259450668,42.0,43,Menikah,perempuan
433,18,datang ke tempat,44,182000000,439000000,111805799,41.0,26,Menikah,perempuan
434,0,sms or WA,14,31800000,63400000,294435,50.0,53,Belum menikah,perempuan
435,27,datang ke tempat,60,142000000,193500000,131200924,73.0,51,Cerai hidup,laki-laki
436,19,datang ke tempat,58,182000000,308000000,63841583,59.0,25,Cerai hidup,perempuan
437,20,datang ke tempat,53,1288000000,1810000000,216175049,71.0,56,Menikah,laki-laki
438,6,surat panggilan,27,23000000,45500000,1956870,51.0,41,Cerai hidup,laki-laki
439,28,datang ke tempat,61,998000000,1922000000,111091911,52.0,49,Cerai mati,perempuan
440,29,datang ke tempat,63,464000000,592500000,79272199,78.0,28,Cerai mati,perempuan
441,23,datang ke tempat,38,316000000,1100500000,111730245,29.0,57,Menikah,laki-laki
442,14,panggilan,40,165000000,628000000,59259469,26.0,56,Menikah,laki-laki
443,22,datang ke tempat,65,1402000000,2098000000,264371520,67.0,24,Cerai mati,laki-laki
444,28,datang ke tempat,58,288000000,350000000,118811544,82.0,49,Belum menikah,laki-laki
445,8,surat panggilan,25,72000000,159000000,1519290,45.0,47,Cerai hidup,laki-laki
446,11,panggilan,30,72000000,169000000,42342787,43.0,38,Cerai hidup,laki-laki
447,2,sms or WA,17,36500000,111600000,506656,33.0,63,Cerai mati,laki-laki
448,13,panggilan,35,360000000,510500000,22413672,71.0,55,Cerai hidup,perempuan
449,22,datang ke tempat,51,596000000,1428000000,227044024,42.0,52,Menikah,laki-laki
450,14,panggilan,38,54000000,277000000,14744068,19.0,25,Cerai hidup,laki-laki
451,7,surat panggilan,38,177500000,342000000,3367590,52.0,57,Cerai hidup,laki-laki
452,4,sms or WA,15,45600000,69800000,432801,65.0,47,Belum menikah,perempuan
453,13,panggilan,37,436000000,571500000,18077660,76.0,28,Menikah,perempuan
454,12,panggilan,30,559000000,593000000,21926248,94.0,40,Cerai mati,laki-laki
455,28,datang ke tempat,68,1082000000,2149000000,495699206,50.0,51,Belum menikah,perempuan
456,21,datang ke tempat,53,470000000,1415500000,361446688,33.0,44,Belum menikah,laki-laki
457,2,sms or WA,8,58200000,78500000,186831,74.0,25,Menikah,perempuan
458,21,datang ke tempat,52,570000000,1317500000,407502079,43.0,48,Belum menikah,laki-laki
459,8,surat panggilan,39,350000000,353500000,1970018,99.0,48,Belum menikah,laki-laki
460,3,sms or WA,14,29300000,36900000,544944,79.0,23,Menikah,laki-laki
461,12,panggilan,49,278000000,656500000,54466080,42.0,29,Cerai hidup,perempuan
462,20,datang ke tempat,66,720000000,1165500000,258872380,62.0,62,Belum menikah,perempuan
463,3,sms or WA,5,26600000,28000000,198852,95.0,25,Menikah,perempuan
464,4,sms or WA,18,10800000,23000000,562882,47.0,50,Belum menikah,perempuan
465,17,datang ke tempat,67,1260000000,1553000000,370773067,81.0,31,Cerai hidup,perempuan
466,26,datang ke tempat,33,458000000,460500000,136464226,99.0,59,Cerai mati,perempuan
467,0,sms or WA,10,19800000,91200000,185431,22.0,37,Cerai hidup,perempuan
468,9,surat panggilan,39,463500000,467000000,3679736,99.0,53,Cerai hidup,perempuan
469,6,surat panggilan,36,41000000,51000000,2758178,80.0,43,Cerai hidup,perempuan
470,6,surat panggilan,36,77500000,86500000,1968078,90.0,44,Menikah,perempuan
471,1,sms or WA,17,93200000,146800000,810070,63.0,42,Belum menikah,perempuan
472,10,surat panggilan,25,74000000,189500000,2371806,39.0,60,Cerai hidup,perempuan
473,9,surat panggilan,29,55000000,274000000,2684801,20.0,62,Cerai mati,perempuan
474,27,datang ke tempat,69,168000000,168000000,492665864,100.0,35,Menikah,laki-laki
475,24,datang ke tempat,47,264000000,707500000,96101239,37.0,32,Menikah,laki-laki
476,26,datang ke tempat,67,1036000000,1878500000,614113785,55.00000000000001,32,Belum menikah,laki-laki
477,6,surat panggilan,30,360000000,404500000,3077243,89.0,57,Cerai hidup,perempuan
478,18,datang ke tempat,41,114000000,293500000,63529858,39.0,39,Belum menikah,laki-laki
479,27,datang ke tempat,66,1606000000,1648500000,502757701,97.0,51,Belum menikah,laki-laki
480,10,surat panggilan,36,140000000,142500000,3493233,98.0,24,Belum menikah,laki-laki
481,13,panggilan,43,225000000,345500000,58556875,65.0,53,Cerai hidup,perempuan
482,27,datang ke tempat,39,684000000,840000000,278877629,81.0,23,Cerai hidup,laki-laki
483,2,sms or WA,19,12200000,64000000,703017,19.0,48,Cerai mati,laki-laki
484,7,surat panggilan,36,65500000,124500000,2153588,53.0,40,Cerai mati,laki-laki
485,26,datang ke tempat,62,692000000,1796500000,585855153,39.0,24,Cerai hidup,laki-laki
486,2,sms or WA,11,25800000,90000000,150595,29.0,44,Cerai hidup,laki-laki
487,25,datang ke tempat,48,518000000,895500000,394408217,57.99999999999999,53,Cerai mati,perempuan
488,27,datang ke tempat,31,354000000,843500000,247526126,42.0,58,Belum menikah,perempuan
489,22,datang ke tempat,56,166000000,166000000,167348391,100.0,30,Cerai mati,perempuan
490,4,sms or WA,6,18100000,19700000,277666,92.0,40,Belum menikah,laki-laki
491,20,datang ke tempat,53,492000000,569500000,494164647,86.0,33,Cerai mati,perempuan
492,15,panggilan,34,507000000,547000000,40324211,93.0,31,Menikah,laki-laki
493,20,datang ke tempat,52,302000000,434000000,474244883,70.0,49,Belum menikah,perempuan
494,19,datang ke tempat,48,472000000,1645500000,55599986,29.0,26,Cerai hidup,laki-laki
495,9,surat panggilan,31,117500000,296500000,1690993,40.0,54,Cerai mati,laki-laki
496,17,datang ke tempat,43,340000000,489500000,87557391,69.0,63,Cerai hidup,perempuan
497,14,panggilan,45,319000000,363500000,48944562,88.0,45,Menikah,laki-laki
498,22,datang ke tempat,59,478000000,1780000000,129920948,27.0,56,Belum menikah,perempuan
499,13,panggilan,42,199000000,465000000,70802667,43.0,37,Menikah,laki-laki
500,9,surat panggilan,21,229000000,288000000,1929178,80.0,53,Belum menikah,laki-laki
501,2,sms or WA,9,23700000,25800000,224723,92.0,56,Menikah,perempuan
502,28,datang ke tempat,30,100000000,111000000,250673019,90.0,27,Cerai mati,perempuan
503,22,datang ke tempat,51,264000000,483000000,338757404,55.00000000000001,26,Belum menikah,laki-laki
504,5,sms or WA,13,32200000,68700000,596259,47.0,52,Cerai hidup,laki-laki
505,10,surat panggilan,26,90000000,133500000,2578429,67.0,39,Cerai hidup,perempuan
506,19,datang ke tempat,60,156000000,570000000,415947973,27.0,53,Cerai hidup,laki-laki
507,13,panggilan,40,53000000,215000000,73929467,25.0,54,Belum menikah,perempuan
508,16,datang ke tempat,52,150000000,207500000,146744471,72.0,49,Cerai hidup,laki-laki
509,14,panggilan,41,459000000,559500000,31957383,82.0,41,Cerai hidup,perempuan
510,25,datang ke tempat,69,304000000,603000000,617923954,50.0,62,Cerai hidup,perempuan
511,20,datang ke tempat,47,174000000,193000000,146393366,90.0,43,Belum menikah,perempuan
512,22,datang ke tempat,50,308000000,1424500000,363483529,22.0,59,Cerai mati,perempuan
513,12,panggilan,49,178000000,304500000,60046104,57.99999999999999,39,Belum menikah,perempuan
514,3,sms or WA,19,42100000,87800000,746208,48.0,59,Cerai mati,laki-laki
515,24,datang ke tempat,31,250000000,614000000,235803673,41.0,49,Belum menikah,laki-laki
516,19,datang ke tempat,46,578000000,1031000000,261266782,56.00000000000001,53,Belum menikah,perempuan
517,10,surat panggilan,22,23000000,36500000,1933847,63.0,31,Cerai hidup,perempuan
518,19,datang ke tempat,54,440000000,528000000,263504594,83.0,37,Cerai hidup,perempuan
519,23,datang ke tempat,68,908000000,1780000000,255166925,51.0,41,Belum menikah,laki-laki
520,0,sms or WA,1,3600000,9100000,93536,40.0,52,Cerai mati,perempuan
521,19,datang ke tempat,46,164000000,779000000,342151896,21.0,36,Cerai hidup,perempuan
522,15,panggilan,38,298000000,330000000,39736960,90.0,27,Cerai mati,laki-laki
523,27,datang ke tempat,48,730000000,1063500000,179867738,69.0,24,Menikah,perempuan
524,24,datang ke tempat,52,666000000,930500000,277918033,72.0,31,Belum menikah,laki-laki
525,13,panggilan,40,231000000,328000000,41007774,70.0,34,Menikah,laki-laki
526,6,surat panggilan,39,203000000,400000000,2529783,51.0,45,Cerai hidup,perempuan
527,16,datang ke tempat,50,1128000000,1196500000,151304917,94.0,40,Belum menikah,perempuan
528,24,datang ke tempat,55,1068000000,1758500000,436562858,61.0,59,Cerai hidup,laki-laki
529,26,datang ke tempat,52,129500000,129500000,493092078,100.0,32,Menikah,perempuan
530,5,sms or WA,4,8900000,10800000,249793,82.0,31,Belum menikah,laki-laki
531,2,sms or WA,12,12000000,12400000,617274,97.0,58,Cerai mati,laki-laki
532,27,datang ke tempat,39,288000000,288000000,350945631,100.0,29,Menikah,laki-laki
533,14,panggilan,36,45000000,333000000,36437026,14.000000000000002,23,Cerai hidup,perempuan
534,18,datang ke tempat,66,342000000,400500000,381808245,85.0,33,Menikah,perempuan
535,3,sms or WA,7,13800000,33200000,384386,42.0,59,Cerai hidup,perempuan
536,14,panggilan,37,185000000,446500000,42071234,41.0,50,Belum menikah,perempuan
537,20,datang ke tempat,33,934000000,1080000000,144911381,86.0,35,Cerai mati,laki-laki
538,21,datang ke tempat,53,1084000000,1187500000,462890985,91.0,36,Menikah,perempuan
539,11,panggilan,33,75000000,176500000,24410506,42.0,26,Cerai mati,perempuan
540,27,datang ke tempat,66,576000000,1170000000,561359644,49.0,59,Cerai mati,perempuan
541,22,datang ke tempat,66,606000000,606000000,470240484,100.0,48,Belum menikah,perempuan
542,3,sms or WA,15,25900000,29600000,312001,88.0,23,Menikah,laki-laki
543,23,datang ke tempat,55,184000000,312500000,529469485,59.0,54,Cerai mati,laki-laki
544,26,datang ke tempat,30,418000000,849000000,78842149,49.0,49,Cerai hidup,perempuan
545,15,panggilan,30,254000000,350000000,13253698,73.0,40,Cerai mati,laki-laki
546,29,datang ke tempat,60,278000000,411000000,367048735,68.0,55,Menikah,laki-laki
547,25,datang ke tempat,66,858000000,916500000,589686973,94.0,25,Cerai hidup,laki-laki
548,22,datang ke tempat,55,1468000000,1767500000,99509538,83.0,34,Cerai mati,laki-laki
549,0,sms or WA,5,21600000,45900000,243689,47.0,50,Cerai mati,laki-laki
550,18,datang ke tempat,30,570000000,993000000,95171268,56.99999999999999,51,Cerai mati,perempuan
551,19,datang ke tempat,62,138000000,1825000000,205810357,8.0,42,Belum menikah,laki-laki
552,9,surat panggilan,21,74000000,163500000,1164489,45.0,32,Menikah,laki-laki
553,4,sms or WA,17,20300000,132900000,540032,15.0,43,Menikah,laki-laki
554,29,datang ke tempat,60,163500000,163500000,302288303,100.0,62,Belum menikah,perempuan
555,22,datang ke tempat,49,422000000,1656500000,52141787,25.0,31,Belum menikah,laki-laki
556,11,panggilan,31,511000000,601500000,47317495,85.0,61,Cerai hidup,perempuan
557,7,surat panggilan,33,237000000,271000000,2869538,87.0,47,Cerai hidup,perempuan
558,1,sms or WA,19,44900000,53500000,459380,84.0,53,Cerai hidup,laki-laki
559,19,datang ke tempat,38,442000000,553000000,337865429,80.0,32,Menikah,laki-laki
560,16,datang ke tempat,41,1298000000,1399000000,214693001,93.0,59,Cerai mati,laki-laki
561,22,datang ke tempat,69,214000000,1278000000,642221525,17.0,56,Cerai hidup,perempuan
562,4,sms or WA,3,11900000,19600000,112602,61.0,44,Belum menikah,perempuan
563,2,sms or WA,3,10300000,11000000,106381,94.0,29,Cerai hidup,laki-laki
564,29,datang ke tempat,64,482000000,1764500000,221242699,27.0,40,Menikah,perempuan
565,21,datang ke tempat,34,378000000,1038500000,179678067,36.0,53,Cerai mati,laki-laki
566,27,datang ke tempat,39,300000000,1104000000,47767501,27.0,58,Cerai hidup,perempuan
567,29,datang ke tempat,58,1214000000,1386500000,160698445,88.0,57,Belum menikah,laki-laki
568,18,datang ke tempat,53,974000000,1579000000,174339845,62.0,54,Belum menikah,perempuan
569,18,datang ke tempat,38,338000000,779500000,295240644,43.0,28,Menikah,laki-laki
570,3,sms or WA,10,41600000,62900000,175765,66.0,46,Belum menikah,laki-laki
571,1,sms or WA,15,117000000,140900000,153248,83.0,60,Belum menikah,perempuan
572,29,datang ke tempat,56,892000000,1520500000,206846283,59.0,53,Menikah,laki-laki
573,16,datang ke tempat,38,88000000,806500000,213819606,11.0,41,Belum menikah,laki-laki
574,8,surat panggilan,24,25000000,72000000,1583041,35.0,25,Cerai mati,laki-laki
575,26,datang ke tempat,36,388000000,813000000,187920049,48.0,26,Cerai mati,laki-laki
576,22,datang ke tempat,49,784000000,788000000,267114667,99.0,60,Belum menikah,perempuan
577,12,panggilan,48,154000000,564000000,71548917,27.0,43,Cerai mati,perempuan
578,22,datang ke tempat,66,758000000,1431000000,283198875,53.0,61,Belum menikah,perempuan
579,11,panggilan,35,56000000,70500000,39462344,79.0,45,Belum menikah,laki-laki
580,20,datang ke tempat,62,192000000,292000000,243799896,66.0,40,Cerai hidup,laki-laki
581,25,datang ke tempat,33,140000000,244500000,215056219,56.99999999999999,55,Menikah,perempuan
582,8,surat panggilan,32,145500000,285500000,3259687,51.0,24,Belum menikah,perempuan
583,7,surat panggilan,37,124500000,425000000,2593970,29.0,30,Menikah,perempuan
584,15,panggilan,37,542000000,732500000,15214267,74.0,29,Cerai mati,perempuan
585,5,sms or WA,14,8800000,9200000,742032,96.0,52,Menikah,laki-laki
586,11,panggilan,41,64000000,724500000,44042616,9.0,26,Cerai mati,laki-laki
587,10,surat panggilan,34,50500000,177500000,1708996,28.000000000000004,23,Menikah,laki-laki
588,3,sms or WA,6,2500000,33100000,176339,8.0,58,Cerai hidup,laki-laki
589,5,sms or WA,2,2600000,19500000,26904,13.0,36,Cerai mati,perempuan
590,10,surat panggilan,36,362000000,459000000,3348711,79.0,39,Belum menikah,laki-laki
591,23,datang ke tempat,67,648000000,1377500000,566835812,47.0,48,Belum menikah,laki-laki
592,9,surat panggilan,20,24000000,93000000,1900544,26.0,62,Cerai mati,perempuan
593,23,datang ke tempat,62,1094000000,1664500000,351259597,66.0,59,Menikah,perempuan
594,28,datang ke tempat,62,382000000,409000000,182479356,93.0,41,Cerai mati,perempuan
595,20,datang ke tempat,56,910000000,1853500000,532285353,49.0,63,Cerai mati,perempuan
596,10,surat panggilan,28,40500000,248500000,2215042,16.0,26,Menikah,perempuan
597,19,datang ke tempat,58,202000000,246500000,382165154,82.0,36,Cerai mati,perempuan
598,23,datang ke tempat,42,134000000,571500000,90908138,23.0,24,Cerai mati,perempuan
599,27,datang ke tempat,46,330000000,620000000,208459802,53.0,61,Cerai mati,laki-laki
600,23,datang ke tempat,42,228000000,708000000,196769502,32.0,55,Cerai hidup,perempuan
601,27,datang ke tempat,65,1118000000,1897000000,314762740,59.0,50,Cerai hidup,perempuan
602,0,sms or WA,9,26700000,55700000,327151,48.0,24,Cerai mati,perempuan
603,0,sms or WA,18,21600000,22900000,265955,94.0,33,Cerai mati,perempuan
604,19,datang ke tempat,39,222000000,640500000,342213739,35.0,33,Belum menikah,perempuan
605,23,datang ke tempat,63,180000000,1909500000,576180374,9.0,29,Cerai hidup,perempuan
606,28,datang ke tempat,35,132000000,1157500000,150539990,11.0,23,Cerai mati,perempuan
607,21,datang ke tempat,44,124000000,365500000,204415092,34.0,30,Cerai mati,perempuan
608,20,datang ke tempat,51,488000000,631500000,250422658,77.0,34,Belum menikah,perempuan
609,7,surat panggilan,33,449500000,456500000,3065091,98.0,34,Cerai mati,perempuan
610,12,panggilan,41,225000000,362500000,80219708,62.0,57,Cerai hidup,perempuan
611,17,datang ke tempat,33,254000000,517500000,167104154,49.0,36,Belum menikah,perempuan
612,9,surat panggilan,22,28000000,121500000,1560679,23.0,50,Menikah,perempuan
613,23,datang ke tempat,54,1016000000,1048500000,138357487,97.0,31,Belum menikah,laki-laki
614,1,sms or WA,16,11400000,43700000,654561,26.0,24,Belum menikah,perempuan
615,26,datang ke tempat,65,130000000,130000000,538065802,100.0,44,Menikah,perempuan
616,18,datang ke tempat,54,1494000000,1585500000,406973149,94.0,57,Cerai hidup,perempuan
617,8,surat panggilan,28,243000000,414500000,1465693,59.0,32,Menikah,perempuan
618,8,surat panggilan,23,178500000,276500000,1225026,65.0,46,Belum menikah,laki-laki
619,13,panggilan,45,116000000,813500000,86290011,14.000000000000002,63,Cerai hidup,perempuan
620,12,panggilan,31,82000000,98500000,10922861,83.0,48,Cerai hidup,perempuan
621,7,surat panggilan,20,109000000,131500000,1190355,83.0,52,Cerai mati,laki-laki
622,1,sms or WA,3,5900000,16000000,192176,37.0,37,Menikah,laki-laki
623,21,datang ke tempat,39,416000000,634500000,285700027,66.0,40,Menikah,perempuan
624,25,datang ke tempat,39,608000000,762000000,145492093,80.0,28,Menikah,perempuan
625,29,datang ke tempat,50,986000000,1408000000,509253097,70.0,50,Cerai mati,laki-laki
626,10,surat panggilan,34,33000000,43000000,1910665,77.0,54,Cerai mati,laki-laki
627,13,panggilan,30,243000000,546000000,56911640,45.0,48,Cerai mati,laki-laki
628,19,datang ke tempat,49,742000000,1068500000,173543336,69.0,40,Cerai hidup,laki-laki
629,28,datang ke tempat,46,568000000,752000000,117692854,76.0,38,Cerai hidup,perempuan
630,23,datang ke tempat,31,254000000,626000000,118918877,41.0,28,Menikah,laki-laki
631,26,datang ke tempat,30,122000000,124500000,46589840,98.0,61,Cerai mati,laki-laki
632,18,datang ke tempat,43,212000000,345500000,351206648,61.0,29,Belum menikah,laki-laki
633,19,datang ke tempat,64,592000000,1071500000,123266474,55.00000000000001,23,Belum menikah,perempuan
634,10,surat panggilan,26,14000000,148000000,2409039,9.0,46,Cerai hidup,laki-laki
635,3,sms or WA,12,41100000,42100000,195724,98.0,45,Cerai mati,perempuan
636,23,datang ke tempat,37,862000000,1061000000,307384338,81.0,54,Belum menikah,laki-laki
637,10,surat panggilan,28,107000000,147500000,2799815,73.0,59,Belum menikah,perempuan
