,number_of_dependents,net_income,loan_amount,tenor,amount_of_late,late_payment_amount,credit_score,arrears_amounts,aset,debtor_education_level,aging,loss_reverse
1078,4.0,18500000.0,63833333.0,10.0,99.0,5.0,184.0,2.0,13500000.0,D3,Kurang lancar,31916667.0
1079,4.0,10500000.0,62500000.0,9.0,82.0,5.0,331.0,2.0,6500000.0,D3,DPK,31250000.0
1080,4.0,19000000.0,51833333.0,19.0,4.0,1.0,349.0,0.0,19500000.0,S1,DPK,0.0
1081,4.0,10500000.0,63000000.0,11.0,0.0,0.0,288.0,0.0,10000000.0,D2,Lancar,0.0
1082,4.0,21000000.0,62500000.0,3.0,179.0,10.0,215.0,2.0,9000000.0,S3,Diragukan,31250000.0
1083,0.0,21500000.0,66666667.0,7.0,208.0,11.0,273.0,3.0,9000000.0,D1,Macet,50000000.0
1084,3.0,15500000.0,58500000.0,24.0,32.0,3.0,455.0,1.0,9500000.0,D1,DPK,14625000.0
1085,4.0,19500000.0,60833333.0,13.0,33.0,2.0,234.0,1.0,8000000.0,D3,DPK,15208333.0
1086,4.0,10500000.0,63833333.0,12.0,5.0,2.0,335.0,0.0,4000000.0,D1,DPK,0.0
1087,2.0,4700000.0,20500000.0,2.0,160.0,9.0,40.0,5.0,3500000.0,SMA,Diragukan,25625000.0
1088,0.0,8500000.0,59000000.0,17.0,59.0,3.0,378.0,1.0,14000000.0,D1,DPK,14750000.0
1089,3.0,18500000.0,61333333.0,2.0,62.0,7.0,165.0,1.0,3000000.0,D1,DPK,15333333.0
1090,5.0,17500000.0,83666667.0,11.0,108.0,10.0,156.0,1.0,8000000.0,D3,Kurang lancar,20916667.0
1091,4.0,24000000.0,61833333.0,24.0,34.0,5.0,474.0,0.0,35500000.0,S1,DPK,0.0
1092,4.0,13000000.0,58333333.0,18.0,76.0,4.0,462.0,2.0,4000000.0,S3,DPK,29166667.0
1093,3.0,15000000.0,69666667.0,8.0,86.0,8.0,102.0,1.0,6000000.0,S2,DPK,17416667.0
1094,4.0,13000000.0,62500000.0,19.0,54.0,4.0,326.0,1.0,4500000.0,S1,DPK,15625000.0
1095,2.0,19500000.0,67500000.0,19.0,59.0,3.0,492.0,1.0,14500000.0,D1,DPK,16875000.0
1096,5.0,15500000.0,58333333.0,1.0,103.0,6.0,128.0,1.0,9500000.0,D1,Kurang lancar,14583333.0
1097,5.0,17500000.0,59000000.0,9.0,84.0,6.0,111.0,1.0,4500000.0,D1,DPK,14750000.0
1098,2.0,26000000.0,144333333.0,30.0,24.0,3.0,647.0,0.0,6500000.0,S1,DPK,0.0
1099,2.0,23000000.0,79166667.0,7.0,246.0,11.0,108.0,8.0,19000000.0,S1,Macet,158333333.0
1100,4.0,24000000.0,68666667.0,11.0,100.0,8.0,247.0,1.0,10500000.0,S2,Kurang lancar,17166667.0
1101,3.0,15500000.0,61166667.0,3.0,103.0,7.0,193.0,1.0,4000000.0,D2,Kurang lancar,15291667.0
1102,3.0,17500000.0,44333333.0,7.0,115.0,8.0,130.0,1.0,16500000.0,D3,Kurang lancar,11083333.0
1103,4.0,10500000.0,58333333.0,12.0,31.0,2.0,329.0,1.0,5000000.0,D2,DPK,14583333.0
1104,3.0,13700000.0,55500000.0,2.0,38.0,3.0,215.0,1.0,8500000.0,SMA,DPK,13875000.0
1105,3.0,18500000.0,60333333.0,10.0,72.0,5.0,258.0,1.0,8500000.0,D1,DPK,15083333.0
1106,1.0,10500000.0,61666667.0,19.0,28.0,3.0,336.0,1.0,5500000.0,D3,DPK,15416667.0
1107,3.0,13000000.0,65333333.0,2.0,0.0,0.0,343.0,0.0,6000000.0,S2,Lancar,0.0
1108,3.0,22500000.0,65000000.0,1.0,59.0,6.0,280.0,2.0,4000000.0,D1,DPK,32500000.0
1109,4.0,15500000.0,77166667.0,1.0,147.0,9.0,127.0,2.0,4000000.0,D3,Diragukan,38583333.0
1110,4.0,17500000.0,69000000.0,7.0,154.0,9.0,217.0,2.0,7000000.0,D1,Diragukan,34500000.0
1111,3.0,10500000.0,60833333.0,12.0,63.0,3.0,290.0,1.0,6000000.0,D3,DPK,15208333.0
1112,2.0,18000000.0,70166667.0,23.0,46.0,3.0,559.0,1.0,3500000.0,S1,DPK,17541667.0
1113,4.0,10500000.0,62166667.0,5.0,65.0,7.0,227.0,1.0,9500000.0,D3,DPK,15541667.0
1114,2.0,9700000.0,57000000.0,9.0,105.0,9.0,353.0,2.0,13000000.0,SMA,Kurang lancar,28500000.0
1115,3.0,13000000.0,56500000.0,7.0,43.0,2.0,469.0,1.0,8500000.0,S1,DPK,14125000.0
1116,1.0,4700000.0,21166667.0,1.0,144.0,9.0,40.0,2.0,19500000.0,SMA,Diragukan,10583333.0
1117,3.0,22500000.0,80166667.0,3.0,92.0,5.0,156.0,2.0,6500000.0,D2,Kurang lancar,40083333.0
1118,1.0,12700000.0,58166667.0,9.0,92.0,5.0,477.0,3.0,7500000.0,SMA,Kurang lancar,43625000.0
1119,4.0,17500000.0,59000000.0,11.0,127.0,7.0,128.0,3.0,9500000.0,D3,Diragukan,44250000.0
1120,4.0,19000000.0,53666667.0,24.0,29.0,2.0,368.0,1.0,14500000.0,S2,DPK,13416667.0
1121,5.0,17500000.0,76500000.0,10.0,88.0,6.0,145.0,1.0,9500000.0,D2,DPK,19125000.0
1122,4.0,10500000.0,58166667.0,16.0,65.0,4.0,346.0,2.0,9500000.0,D1,DPK,29083333.0
1123,3.0,10500000.0,48666667.0,8.0,19.999999999999993,1.0,250.0,1.0,9000000.0,D3,DPK,12166667.0
1124,4.0,19000000.0,59000000.0,9.0,140.0,8.0,244.0,3.0,11500000.0,S2,Diragukan,44250000.0
1125,3.0,16000000.0,61833333.0,10.0,104.0,9.0,145.0,2.0,4000000.0,S1,Kurang lancar,30916667.0
1126,3.0,10500000.0,61500000.0,10.0,10.0,1.0,226.0,0.0,6000000.0,D2,DPK,0.0
1127,3.0,15500000.0,58000000.0,6.0,167.0,10.0,289.0,2.0,4000000.0,D3,Diragukan,29000000.0
1128,4.0,24000000.0,62666667.0,21.0,62.0,3.0,596.0,1.0,9500000.0,S2,DPK,15666667.0
1129,2.0,26000000.0,133666667.0,4.0,72.0,5.0,294.0,1.0,8500000.0,S3,DPK,33416667.0
1130,3.0,18000000.0,64166667.0,24.0,61.0,4.0,498.0,2.0,7500000.0,S1,DPK,32083333.0
1131,5.0,15500000.0,62666667.0,8.0,113.0,8.0,293.0,1.0,3500000.0,D3,Kurang lancar,15666667.0
1132,2.0,26000000.0,143000000.0,24.0,56.0,3.0,671.0,1.0,9000000.0,S1,DPK,35750000.0
1133,3.0,24000000.0,60000000.0,23.0,24.0,3.0,567.0,0.0,4500000.0,S1,DPK,0.0
1134,3.0,10500000.0,56000000.0,10.0,75.0,5.0,211.0,1.0,8000000.0,D3,DPK,14000000.0
1135,3.0,10500000.0,56500000.0,11.0,36.0,2.0,341.0,1.0,3000000.0,D3,DPK,14125000.0
1136,3.0,10500000.0,56500000.0,10.0,12.0,1.0,303.0,0.0,17500000.0,D3,DPK,0.0
1137,4.0,24000000.0,72666667.0,4.0,81.0,5.0,120.0,2.0,7000000.0,S1,DPK,36333333.0
1138,5.0,25500000.0,141000000.0,7.0,137.0,8.0,130.0,2.0,6000000.0,D2,Diragukan,70500000.0
1139,2.0,22000000.0,70166667.0,25.0,58.0,4.0,653.0,1.0,4000000.0,S1,DPK,17541667.0
1140,1.0,8700000.0,64500000.0,2.0,30.0,2.0,221.0,1.0,4000000.0,SMA,DPK,16125000.0
1141,4.0,17500000.0,76166667.0,3.0,116.0,9.0,161.0,2.0,8500000.0,D2,Kurang lancar,38083333.0
1142,3.0,23500000.0,70333333.0,22.0,18.0,1.0,554.0,1.0,9000000.0,D3,DPK,17583333.0
1143,0.0,15500000.0,63000000.0,21.0,18.0,2.0,484.0,1.0,5500000.0,D1,DPK,15750000.0
1144,1.0,7700000.0,59166667.0,14.0,77.0,5.0,390.0,2.0,17000000.0,SMA,DPK,29583333.0
1145,4.0,19000000.0,48833333.0,23.0,0.0,0.0,481.0,0.0,7000000.0,S1,Lancar,0.0
1146,4.0,25500000.0,137333333.0,2.0,114.0,7.0,288.0,1.0,10000000.0,D3,Kurang lancar,34333333.0
1147,3.0,20500000.0,63166667.0,25.0,0.0,0.0,633.0,0.0,7500000.0,D1,Lancar,0.0
1148,3.0,18000000.0,60333333.0,1.0,126.0,7.0,142.0,2.0,12500000.0,S2,Diragukan,30166667.0
1149,3.0,15500000.0,47333333.0,15.0,70.0,4.0,475.0,1.0,4500000.0,D3,DPK,11833333.0
1150,4.0,24000000.0,61833333.0,16.0,69.0,5.0,542.0,1.0,6000000.0,S1,DPK,15458333.0
1151,5.0,17500000.0,74333333.0,3.0,121.0,8.0,120.0,2.0,10000000.0,D3,Diragukan,37166667.0
1152,3.0,15500000.0,56000000.0,17.0,25.0,3.0,492.0,0.0,10500000.0,D3,DPK,0.0
1153,1.0,26500000.0,139833333.0,33.0,51.0,3.0,615.0,1.0,8000000.0,D1,DPK,34958333.0
1154,4.0,17500000.0,74166667.0,8.0,119.0,8.0,112.0,3.0,10500000.0,D3,Kurang lancar,55625000.0
1155,3.0,24000000.0,56333333.0,24.0,40.0,3.0,584.0,1.0,12500000.0,S2,DPK,14083333.0
1156,4.0,21000000.0,75500000.0,4.0,175.0,10.0,124.0,3.0,3500000.0,S1,Diragukan,56625000.0
1157,3.0,15500000.0,71166667.0,15.0,37.0,2.0,454.0,1.0,8000000.0,D1,DPK,17791667.0
1158,3.0,10500000.0,57833333.0,15.0,77.0,4.0,306.0,1.0,13000000.0,D1,DPK,14458333.0
1159,4.0,18500000.0,62000000.0,7.0,182.0,9.0,131.0,3.0,9000000.0,D2,Macet,46500000.0
1160,4.0,18000000.0,66333333.0,6.0,138.0,7.0,150.0,2.0,9500000.0,S1,Diragukan,33166667.0
1161,5.0,15500000.0,68333333.0,13.0,151.0,10.0,190.0,2.0,9500000.0,D1,Diragukan,34166667.0
1162,2.0,13000000.0,57666667.0,4.0,29.0,3.0,331.0,1.0,15500000.0,S1,DPK,14416667.0
1163,3.0,10500000.0,58166667.0,3.0,40.0,2.0,254.0,1.0,7000000.0,D3,DPK,14541667.0
1164,2.0,6700000.0,54333333.0,10.0,41.0,2.0,422.0,1.0,14000000.0,SMA,DPK,13583333.0
1165,5.0,22500000.0,68833333.0,10.0,91.0,4.0,258.0,2.0,14500000.0,D3,Kurang lancar,34416667.0
1166,3.0,15500000.0,59000000.0,8.0,136.0,8.0,290.0,2.0,11500000.0,D3,Diragukan,29500000.0
1167,4.0,10500000.0,60833333.0,7.0,37.0,2.0,207.0,1.0,5000000.0,D3,DPK,15208333.0
1168,4.0,15500000.0,56666667.0,12.0,98.0,6.0,128.0,1.0,9500000.0,D3,Kurang lancar,14166667.0
1169,3.0,10500000.0,58000000.0,19.0,34.0,3.0,346.0,1.0,5000000.0,D3,DPK,14500000.0
1170,5.0,22500000.0,57500000.0,21.0,78.0,4.0,587.0,1.0,5500000.0,D3,DPK,14375000.0
1171,4.0,17500000.0,43500000.0,18.0,19.0,1.0,440.0,1.0,5500000.0,D3,DPK,10875000.0
1172,2.0,18000000.0,60000000.0,6.0,84.0,6.0,168.0,1.0,7500000.0,S3,DPK,15000000.0
1173,3.0,18000000.0,60833333.0,25.0,0.0,0.0,659.0,0.0,7000000.0,S1,Lancar,0.0
1174,4.0,17500000.0,62000000.0,9.0,142.0,11.0,170.0,1.0,5500000.0,D3,Diragukan,15500000.0
1175,3.0,18500000.0,65500000.0,21.0,14.0,1.0,552.0,0.0,9000000.0,D1,DPK,0.0
1176,0.0,10500000.0,64166667.0,10.0,50.0,3.0,388.0,2.0,6500000.0,D3,DPK,32083333.0
1177,5.0,10500000.0,57166667.0,10.0,136.0,9.0,214.0,2.0,7000000.0,D3,Diragukan,28583333.0
1178,4.0,17500000.0,55333333.0,4.0,139.0,8.0,184.0,2.0,14000000.0,D3,Diragukan,27666667.0
1179,5.0,10500000.0,50833333.0,10.0,142.0,10.0,283.0,2.0,3000000.0,D3,Diragukan,25416667.0
1180,1.0,13700000.0,56333333.0,14.0,35.0,3.0,427.0,1.0,9000000.0,SMA,DPK,14083333.0
1181,3.0,18500000.0,69166667.0,5.0,73.0,6.0,284.0,1.0,9000000.0,D1,DPK,17291667.0
1182,2.0,21000000.0,54500000.0,22.0,40.0,3.0,383.0,1.0,8500000.0,S1,DPK,13625000.0
1183,3.0,14700000.0,62000000.0,18.0,28.0,1.0,323.0,1.0,6500000.0,SMA,DPK,15500000.0
1184,2.0,13000000.0,60833333.0,16.0,70.0,3.0,408.0,2.0,8000000.0,S3,DPK,30416667.0
1185,4.0,10500000.0,53000000.0,13.0,21.0,2.0,279.0,0.0,6000000.0,D3,DPK,0.0
1186,3.0,15500000.0,56833333.0,25.0,58.0,3.0,608.0,1.0,8500000.0,D2,DPK,14208333.0
1187,4.0,18000000.0,57666667.0,3.0,94.0,6.0,275.0,1.0,6500000.0,S1,Kurang lancar,14416667.0
1188,2.0,18000000.0,49500000.0,24.0,26.0,2.0,501.0,1.0,8500000.0,S2,DPK,12375000.0
1189,0.0,10500000.0,63666667.0,1.0,26.0,3.0,310.0,1.0,7500000.0,D1,DPK,15916667.0
1190,3.0,27000000.0,139166667.0,35.0,22.0,2.0,530.0,0.0,7500000.0,S1,DPK,0.0
1191,3.0,20500000.0,57500000.0,17.0,50.0,3.0,407.0,1.0,17500000.0,D3,DPK,14375000.0
1192,3.0,13000000.0,59833333.0,17.0,54.0,3.0,389.0,1.0,8500000.0,S1,DPK,14958333.0
1193,2.0,21000000.0,51500000.0,17.0,27.0,2.0,611.0,1.0,18000000.0,S3,DPK,12875000.0
1194,4.0,25000000.0,144166667.0,11.0,170.0,9.0,465.0,4.0,6000000.0,S3,Diragukan,144166667.0
1195,2.0,15000000.0,72166667.0,6.0,155.0,10.0,259.0,2.0,19500000.0,S1,Diragukan,36083333.0
1196,3.0,18000000.0,65500000.0,10.0,131.0,8.0,226.0,2.0,13000000.0,S2,Diragukan,32750000.0
1197,5.0,22500000.0,49666667.0,19.0,73.0,4.0,397.0,2.0,4500000.0,D1,DPK,24833333.0
1198,3.0,18500000.0,59000000.0,11.0,34.0,3.0,119.0,1.0,18500000.0,D2,DPK,14750000.0
1199,2.0,13000000.0,64166667.0,16.0,26.0,3.0,398.0,0.0,11500000.0,S3,DPK,0.0
1200,3.0,18500000.0,54166667.0,23.0,32.0,3.0,664.0,1.0,6500000.0,D3,DPK,13541667.0
1201,3.0,19000000.0,58000000.0,24.0,15.0,2.0,431.0,0.0,5000000.0,S2,DPK,0.0
1202,3.0,17500000.0,57166667.0,4.0,122.0,8.0,226.0,2.0,4000000.0,D1,Diragukan,28583333.0
1203,3.0,17500000.0,51000000.0,17.0,49.0,3.0,424.0,1.0,8000000.0,D3,DPK,12750000.0
1204,4.0,19000000.0,36166667.0,21.0,46.0,4.0,316.0,1.0,9500000.0,S1,DPK,9041667.0
1205,3.0,17500000.0,67333333.0,15.0,38.0,2.0,566.0,1.0,16000000.0,D1,DPK,16833333.0
1206,5.0,15500000.0,71000000.0,14.0,82.0,7.0,237.0,1.0,15500000.0,D1,DPK,17750000.0
1207,2.0,13000000.0,62666667.0,7.0,22.0,2.0,424.0,1.0,5500000.0,S2,DPK,15666667.0
1208,3.0,18500000.0,35000000.0,12.0,71.0,6.0,142.0,2.0,19000000.0,D3,DPK,17500000.0
1209,5.0,22500000.0,70833333.0,11.0,136.0,10.0,202.0,1.0,5000000.0,D3,Diragukan,17708333.0
1210,4.0,18000000.0,52500000.0,13.0,149.0,8.0,134.0,2.0,9000000.0,S3,Diragukan,26250000.0
1211,3.0,13000000.0,53166667.0,14.0,43.0,2.0,494.0,1.0,5500000.0,S2,DPK,13291667.0
1212,4.0,24000000.0,77500000.0,14.0,92.0,6.0,175.0,1.0,9000000.0,S1,Kurang lancar,19375000.0
1213,3.0,22500000.0,59666667.0,20.0,42.0,3.0,691.0,1.0,4500000.0,D1,DPK,14916667.0
1214,4.0,18000000.0,59333333.0,4.0,136.0,7.0,117.0,2.0,9500000.0,S1,Diragukan,29666667.0
1215,4.0,17500000.0,57500000.0,5.0,115.0,7.0,160.0,4.0,4000000.0,D1,Kurang lancar,57500000.0
1216,3.0,10500000.0,64833333.0,4.0,1.0,1.0,349.0,0.0,7000000.0,D3,DPK,0.0
1217,4.0,15500000.0,73000000.0,9.0,122.0,9.0,232.0,1.0,8000000.0,D1,Diragukan,18250000.0
1218,4.0,18000000.0,62000000.0,8.0,163.0,8.0,226.0,2.0,9000000.0,S1,Diragukan,31000000.0
1219,4.0,22500000.0,50500000.0,25.0,103.0,4.0,569.0,1.0,7500000.0,D3,Kurang lancar,12625000.0
1220,5.0,10500000.0,57333333.0,7.0,143.0,10.0,231.0,1.0,3000000.0,D3,Diragukan,14333333.0
1221,2.0,26000000.0,141666667.0,24.0,50.0,2.0,419.0,1.0,6000000.0,S2,DPK,35416667.0
1222,3.0,21000000.0,59666667.0,18.0,14.0,1.0,442.0,0.0,12000000.0,S1,DPK,0.0
1223,4.0,10500000.0,54666667.0,18.0,23.0,2.0,323.0,1.0,14500000.0,D3,DPK,13666667.0
1224,4.0,17500000.0,52000000.0,11.0,74.0,7.0,203.0,1.0,11500000.0,D2,DPK,13000000.0
1225,4.0,19000000.0,53333333.0,15.0,12.0,1.0,500.0,0.0,9000000.0,S1,DPK,0.0
1226,2.0,4700000.0,20666667.0,2.0,74.0,5.0,70.0,3.0,14500000.0,SMA,DPK,15500000.0
1227,4.0,10500000.0,59333333.0,12.0,30.0,2.0,336.0,1.0,7000000.0,D2,DPK,14833333.0
1228,4.0,10500000.0,59333333.0,14.0,90.0,4.0,352.0,2.0,6000000.0,D2,DPK,29666667.0
1229,3.0,24000000.0,48500000.0,18.0,37.0,4.0,467.0,1.0,6000000.0,S1,DPK,12125000.0
1230,3.0,27000000.0,143833333.0,29.0,31.0,2.0,600.0,1.0,13000000.0,S1,DPK,35958333.0
1231,4.0,10500000.0,59333333.0,5.0,55.0,3.0,349.0,1.0,29500000.0,D3,DPK,14833333.0
1232,4.0,19000000.0,61833333.0,1.0,107.0,8.0,102.0,1.0,4500000.0,S1,Kurang lancar,15458333.0
1233,3.0,13000000.0,53333333.0,11.0,52.0,3.0,369.0,1.0,4000000.0,S2,DPK,13333333.0
1234,2.0,11700000.0,58666667.0,12.0,37.0,2.0,292.0,1.0,12500000.0,SMA,DPK,14666667.0
1235,2.0,24500000.0,78500000.0,10.0,80.0,7.0,118.0,1.0,13500000.0,D3,DPK,19625000.0
1236,4.0,18500000.0,56500000.0,3.0,44.0,4.0,113.0,1.0,9000000.0,D2,DPK,14125000.0
1237,0.0,10500000.0,64500000.0,15.0,67.0,4.0,480.0,3.0,5000000.0,D1,DPK,48375000.0
1238,0.0,19500000.0,66666667.0,1.0,143.0,9.0,236.0,2.0,7500000.0,D1,Diragukan,33333333.0
1239,4.0,15500000.0,67000000.0,9.0,103.0,6.0,283.0,2.0,4500000.0,D2,Kurang lancar,33500000.0
1240,4.0,20000000.0,59500000.0,8.0,44.0,5.0,167.0,1.0,8000000.0,S3,DPK,14875000.0
1241,5.0,15500000.0,61333333.0,10.0,115.0,8.0,116.0,2.0,13000000.0,D3,Kurang lancar,30666667.0
1242,2.0,13000000.0,65000000.0,9.0,132.0,8.0,391.0,2.0,9000000.0,S2,Diragukan,32500000.0
1243,3.0,15500000.0,66166667.0,12.0,100.0,7.0,164.0,2.0,8500000.0,D2,Kurang lancar,33083333.0
1244,4.0,22000000.0,65333333.0,13.0,77.0,5.0,145.0,1.0,9500000.0,S1,DPK,16333333.0
1245,0.0,15500000.0,59166667.0,5.0,103.0,7.0,223.0,2.0,9000000.0,D2,Kurang lancar,29583333.0
1246,0.0,26500000.0,140833333.0,24.0,72.0,4.0,458.0,2.0,3000000.0,D1,DPK,70416667.0
1247,3.0,18500000.0,61833333.0,22.0,17.0,2.0,490.0,1.0,6000000.0,D1,DPK,15458333.0
1248,2.0,13000000.0,58833333.0,6.0,84.0,5.0,498.0,1.0,5500000.0,S2,DPK,14708333.0
1249,4.0,18500000.0,68500000.0,12.0,120.0,8.0,109.0,1.0,6500000.0,D3,Kurang lancar,17125000.0
1250,3.0,18000000.0,59833333.0,13.0,68.0,6.0,205.0,1.0,8000000.0,S3,DPK,14958333.0
1251,4.0,19000000.0,66166667.0,12.0,127.0,8.0,249.0,2.0,11500000.0,S2,Diragukan,33083333.0
1252,4.0,15500000.0,59333333.0,7.0,55.0,5.0,151.0,1.0,16000000.0,D3,DPK,14833333.0
1253,2.0,13000000.0,53500000.0,1.0,13.0,1.0,435.0,0.0,9500000.0,S1,DPK,0.0
1254,0.0,19500000.0,60000000.0,23.0,32.0,2.0,695.0,1.0,7500000.0,D1,DPK,15000000.0
1255,4.0,10500000.0,59666667.0,19.0,4.0,1.0,308.0,0.0,4500000.0,D1,DPK,0.0
1256,2.0,13000000.0,58000000.0,10.0,118.0,9.0,322.0,1.0,9000000.0,S2,Kurang lancar,14500000.0
1257,4.0,10500000.0,61000000.0,10.0,19.0,3.0,252.0,1.0,4000000.0,D3,DPK,15250000.0
1258,4.0,19000000.0,58000000.0,1.0,146.0,9.0,128.0,1.0,8000000.0,S2,Diragukan,14500000.0
1259,4.0,21000000.0,72500000.0,1.0,114.0,8.0,141.0,1.0,16000000.0,S2,Kurang lancar,18125000.0
1260,4.0,17500000.0,68333333.0,8.0,154.0,8.0,249.0,2.0,6500000.0,D1,Diragukan,34166667.0
1261,1.0,15500000.0,90333333.0,22.0,25.0,1.0,404.0,1.0,9500000.0,D1,DPK,22583333.0
1262,1.0,13700000.0,57000000.0,18.0,56.0,3.0,355.0,1.0,5000000.0,SMA,DPK,14250000.0
1263,2.0,13000000.0,59333333.0,4.0,91.0,6.0,313.0,1.0,8000000.0,S1,Kurang lancar,14833333.0
1264,0.0,18500000.0,62833333.0,20.0,65.0,4.0,487.0,1.0,6000000.0,D2,DPK,15708333.0
1265,2.0,18000000.0,45000000.0,9.0,107.0,6.0,238.0,4.0,7500000.0,S2,Kurang lancar,45000000.0
1266,5.0,17500000.0,79000000.0,11.0,146.0,9.0,202.0,2.0,17500000.0,D3,Diragukan,39500000.0
1267,3.0,19000000.0,53833333.0,8.0,123.0,8.0,145.0,2.0,8000000.0,S1,Diragukan,26916667.0
1268,3.0,22500000.0,80166667.0,5.0,74.0,4.0,193.0,1.0,4500000.0,D1,DPK,20041667.0
1269,3.0,18500000.0,75166667.0,16.0,39.0,3.0,465.0,1.0,11000000.0,D3,DPK,18791667.0
1270,4.0,19000000.0,48833333.0,25.0,37.0,3.0,327.0,1.0,5000000.0,S1,DPK,12208333.0
1271,3.0,19000000.0,61333333.0,14.0,58.0,5.0,211.0,1.0,9500000.0,S1,DPK,15333333.0
1272,4.0,19000000.0,54000000.0,7.0,107.0,8.0,111.0,2.0,4000000.0,S1,Kurang lancar,27000000.0
1273,3.0,17500000.0,50000000.0,19.0,30.0,1.0,437.0,1.0,7500000.0,D2,DPK,12500000.0
1274,3.0,24000000.0,60666667.0,19.0,37.0,2.0,554.0,1.0,11000000.0,S1,DPK,15166667.0
1275,4.0,13000000.0,58166667.0,14.0,27.0,1.0,319.0,1.0,7500000.0,S1,DPK,14541667.0
1276,3.0,13000000.0,62333333.0,15.0,35.0,2.0,469.0,1.0,8500000.0,S2,DPK,15583333.0
1277,1.0,7700000.0,58166667.0,3.0,75.0,4.0,394.0,1.0,7500000.0,SMA,DPK,14541667.0
1278,4.0,10500000.0,59333333.0,10.0,78.0,4.0,381.0,2.0,15000000.0,D3,DPK,29666667.0
1279,5.0,15500000.0,61000000.0,10.0,75.0,5.0,159.0,1.0,12000000.0,D3,DPK,15250000.0
1280,4.0,10500000.0,61333333.0,13.0,56.0,3.0,262.0,2.0,8000000.0,D1,DPK,30666667.0
1281,4.0,15500000.0,87833333.0,4.0,81.0,5.0,161.0,2.0,7000000.0,D2,DPK,43916667.0
1282,5.0,17500000.0,59666667.0,8.0,64.0,7.0,248.0,1.0,8000000.0,D3,DPK,14916667.0
1283,2.0,21000000.0,59500000.0,19.0,19.0,1.0,402.0,1.0,6500000.0,S2,DPK,14875000.0
1284,2.0,29000000.0,136833333.0,33.0,62.0,3.0,595.0,2.0,13000000.0,S2,DPK,68416667.0
1285,5.0,10500000.0,57333333.0,4.0,138.0,7.0,253.0,4.0,9500000.0,D3,Diragukan,57333333.0
1286,0.0,10500000.0,56000000.0,5.0,26.0,2.0,377.0,1.0,12000000.0,D1,DPK,14000000.0
1287,4.0,13000000.0,61833333.0,1.0,132.0,7.0,357.0,3.0,7000000.0,S1,Diragukan,46375000.0
1288,4.0,19000000.0,69000000.0,11.0,73.0,4.0,168.0,2.0,19000000.0,S1,DPK,34500000.0
1289,4.0,14500000.0,57000000.0,6.0,64.0,3.0,383.0,2.0,18000000.0,D2,DPK,28500000.0
1290,0.0,21500000.0,46000000.0,21.0,77.0,4.0,380.0,1.0,6000000.0,D1,DPK,11500000.0
1291,3.0,6700000.0,63166667.0,11.0,59.0,4.0,285.0,1.0,7000000.0,SMA,DPK,15791667.0
1292,2.0,18000000.0,44666667.0,16.0,60.0,3.0,554.0,1.0,5500000.0,S1,DPK,11166667.0
1293,3.0,24000000.0,54333333.0,16.0,29.0,2.0,669.0,1.0,5500000.0,S1,DPK,13583333.0
1294,4.0,18000000.0,63333333.0,5.0,145.0,11.0,272.0,3.0,6500000.0,S1,Diragukan,47500000.0
1295,2.0,21000000.0,69500000.0,18.0,34.0,3.0,538.0,1.0,5500000.0,S1,DPK,17375000.0
1296,0.0,10500000.0,61000000.0,19.0,51.0,2.0,467.0,1.0,4500000.0,D1,DPK,15250000.0
1297,4.0,10500000.0,58000000.0,14.0,35.0,3.0,342.0,1.0,10000000.0,D3,DPK,14500000.0
1298,3.0,13000000.0,55666667.0,15.0,39.0,2.0,386.0,1.0,10500000.0,S1,DPK,13916667.0
1299,4.0,13000000.0,61333333.0,6.0,42.0,2.0,487.0,1.0,13500000.0,S1,DPK,15333333.0
1300,1.0,10500000.0,52666667.0,19.0,50.0,3.0,395.0,2.0,12000000.0,D3,DPK,26333333.0
1301,4.0,13000000.0,61166667.0,10.0,46.0,3.0,453.0,1.0,6000000.0,S1,DPK,15291667.0
1302,2.0,29000000.0,137500000.0,24.0,28.0,2.0,452.0,1.0,4000000.0,S2,DPK,34375000.0
1303,2.0,21000000.0,67833333.0,4.0,86.0,9.0,165.0,1.0,4500000.0,S1,DPK,16958333.0
1304,4.0,17500000.0,52666667.0,20.0,22.0,1.0,354.0,1.0,8000000.0,D3,DPK,13166667.0
1305,1.0,10500000.0,61333333.0,11.0,26.0,2.0,293.0,1.0,9000000.0,D1,DPK,15333333.0
1306,1.0,10700000.0,63000000.0,10.0,82.0,6.0,409.0,1.0,6500000.0,SMA,DPK,15750000.0
1307,5.0,15500000.0,62000000.0,7.0,70.0,5.0,287.0,1.0,10000000.0,D1,DPK,15500000.0
1308,4.0,13000000.0,57333333.0,5.0,54.0,4.0,396.0,1.0,8000000.0,S2,DPK,14333333.0
1309,3.0,10500000.0,66000000.0,13.0,16.0,1.0,305.0,1.0,10500000.0,D3,DPK,16500000.0
1310,3.0,15500000.0,66000000.0,15.0,16.0,1.0,640.0,1.0,6000000.0,D3,DPK,16500000.0
1311,4.0,18000000.0,66666667.0,6.0,177.0,9.0,262.0,3.0,6500000.0,S1,Diragukan,50000000.0
1312,3.0,13000000.0,61500000.0,10.0,106.0,6.0,492.0,2.0,13000000.0,S3,Kurang lancar,30750000.0
1313,4.0,10500000.0,54166667.0,17.0,2.0,1.0,214.0,0.0,6500000.0,D2,DPK,0.0
