,debtor_gender,age,debtor_education_level,debtor_martial_status,employment_type,number_of_dependents,net_income,payment_date,loan_amount,avg_amounts_previous_bills,avg_previous_payment,amount_of_late,late_payment_amount,credit_risk,credit_score,arrears_amounts,aset,loss_reverse,aging
1072,Pria,24,SMA,Belum menikah,Contract,3,13700000.0,2023-07-23,15458333.333333334,14500000,8450000,0,0,Tertagih,242,0,12500000,0.0,Lancar
1073,Pria,22,SMA,Belum menikah,Contract,0,6700000.0,2023-05-18,15666666.666666666,4500000,2750000,13,3,Tidak tertagih,364,0,10000000,0.0,DPK
1074,Pria,33,S2,Sudah menikah,Full-time,4,29000000.0,2023-04-13,35500000.0,37000000,23800000,84,7,Tidak tertagih,411,1,5500000,35500000.0,DPK
1075,Pria,20,SMA,Belum menikah,Contract,1,6700000.0,2023-03-12,13541666.666666666,16500000,12050000,5,2,Tidak tertagih,343,0,6500000,0.0,DPK
1076,Wanita,53,S1,Sudah menikah,Retired,3,17000000.0,2023-03-02,15125000.0,7000000,6500000,29,1,Tertagih,689,1,5500000,15125000.0,DPK
1077,Pria,31,D1,Belum menikah,Self-employed,1,26500000.0,2023-06-03,34416666.666666664,32500000,32450000,25,1,Tertagih,677,1,9500000,34416666.666666664,DPK
1078,Wanita,55,D3,Sudah menikah,Retired,4,18500000.0,2023-04-07,15958333.333333334,22500000,17150000,99,5,Tidak tertagih,184,2,13500000,31916666.666666668,Kurang lancar
1079,Pria,66,D3,Sudah menikah,Retired,4,10500000.0,2023-03-27,15625000.0,19500000,10550000,82,5,Tidak tertagih,331,2,6500000,31250000.0,DPK
1080,Pria,43,S1,Sudah menikah,Full-time,4,19000000.0,2023-02-24,12958333.333333334,16000000,8500000,4,1,Tertagih,349,0,19500000,0.0,DPK
1081,Wanita,79,D2,Sudah menikah,Retired,4,10500000.0,2023-01-05,15750000.0,6500000,5950000,0,0,Tidak tertagih,288,0,10000000,0.0,Lancar
1082,Wanita,79,S3,Sudah menikah,Retired,4,21000000.0,2023-03-13,15625000.0,2000000,1300000,179,10,Tidak tertagih,215,2,9000000,31250000.0,Diragukan
1083,Pria,30,D1,Belum menikah,Full-time,0,21500000.0,2023-08-07,16666666.666666666,18500000,12750000,208,11,Tidak tertagih,273,3,9000000,50000000.0,Macet
1084,Wanita,62,D1,Sudah menikah,Retired,3,15500000.0,2023-03-06,14625000.0,3500000,3150000,32,3,Tertagih,455,1,9500000,14625000.0,DPK
1085,Wanita,51,D3,Sudah menikah,Retired,4,19500000.0,2023-08-04,15208333.333333334,22000000,21200000,33,2,Tidak tertagih,234,1,8000000,15208333.333333334,DPK
1086,Pria,59,D1,Sudah menikah,Retired,4,10500000.0,2023-08-06,15958333.333333334,19500000,16350000,5,2,Tertagih,335,0,4000000,0.0,DPK
1087,Wanita,31,SMA,Belum menikah,Not-employed,2,4700000.0,2023-06-16,5125000.0,34000000,29200000,160,9,Tidak tertagih,40,5,3500000,25625000.0,Diragukan
1088,Pria,25,D1,Belum menikah,Contract,0,8500000.0,2023-06-27,14750000.0,4000000,2100000,59,3,Tertagih,378,1,14000000,14750000.0,DPK
1089,Wanita,68,D1,Sudah menikah,Retired,3,18500000.0,2023-04-16,15333333.333333334,23500000,22850000,62,7,Tidak tertagih,165,1,3000000,15333333.333333334,DPK
1090,Pria,41,D3,Sudah menikah,Full-time,5,17500000.0,2023-01-20,20916666.666666668,9500000,7650000,108,10,Tidak tertagih,156,1,8000000,20916666.666666668,Kurang lancar
1091,Pria,36,S1,Sudah menikah,Full-time,4,24000000.0,2023-08-16,15458333.333333334,6000000,3800000,34,5,Tertagih,474,0,35500000,0.0,DPK
1092,Pria,63,S3,Sudah menikah,Retired,4,13000000.0,2023-02-28,14583333.333333334,6500000,5650000,76,4,Tertagih,462,2,4000000,29166666.666666668,DPK
1093,Wanita,57,S2,Sudah menikah,Retired,3,15000000.0,2023-07-04,17416666.666666668,19500000,18350000,86,8,Tidak tertagih,102,1,6000000,17416666.666666668,DPK
1094,Pria,59,S1,Sudah menikah,Retired,4,13000000.0,2023-02-08,15625000.0,12000000,6200000,54,4,Tertagih,326,1,4500000,15625000.0,DPK
1095,Pria,30,D1,Belum menikah,Full-time,2,19500000.0,2023-04-12,16875000.0,15500000,9150000,59,3,Tertagih,492,1,14500000,16875000.0,DPK
1096,Wanita,68,D1,Sudah menikah,Retired,5,15500000.0,2023-05-25,14583333.333333334,27000000,21700000,103,6,Tidak tertagih,128,1,9500000,14583333.333333334,Kurang lancar
1097,Pria,44,D1,Sudah menikah,Full-time,5,17500000.0,2023-04-28,14750000.0,24000000,21800000,84,6,Tidak tertagih,111,1,4500000,14750000.0,DPK
1098,Pria,32,S1,Sudah menikah,Contract,2,26000000.0,2023-05-22,36083333.333333336,37500000,22050000,24,3,Tertagih,647,0,6500000,0.0,DPK
1099,Wanita,75,S1,Sudah menikah,Retired,2,23000000.0,2023-02-15,19791666.666666668,3000000,2900000,246,11,Tidak tertagih,108,8,19000000,158333333.33333334,Macet
1100,Pria,32,S2,Sudah menikah,Full-time,4,24000000.0,2023-02-05,17166666.666666668,16000000,11600000,100,8,Tidak tertagih,247,1,10500000,17166666.666666668,Kurang lancar
1101,Wanita,67,D2,Sudah menikah,Retired,3,15500000.0,2023-02-28,15291666.666666666,2500000,1550000,103,7,Tidak tertagih,193,1,4000000,15291666.666666666,Kurang lancar
1102,Wanita,52,D3,Sudah menikah,Retired,3,17500000.0,2023-09-10,11083333.333333334,20000000,14100000,115,8,Tidak tertagih,130,1,16500000,11083333.333333334,Kurang lancar
1103,Wanita,77,D2,Sudah menikah,Retired,4,10500000.0,2023-07-24,14583333.333333334,5000000,4300000,31,2,Tertagih,329,1,5000000,14583333.333333334,DPK
1104,Pria,30,SMA,Belum menikah,Contract,3,13700000.0,2023-04-07,13875000.0,10000000,6900000,38,3,Tidak tertagih,215,1,8500000,13875000.0,DPK
1105,Wanita,78,D1,Sudah menikah,Retired,3,18500000.0,2023-02-20,15083333.333333334,17000000,12100000,72,5,Tidak tertagih,258,1,8500000,15083333.333333334,DPK
1106,Pria,25,D3,Belum menikah,Contract,1,10500000.0,2023-04-18,15416666.666666666,17500000,10050000,28,3,Tertagih,336,1,5500000,15416666.666666666,DPK
1107,Pria,65,S2,Sudah menikah,Retired,3,13000000.0,2023-09-04,16333333.333333334,7000000,4000000,0,0,Tidak tertagih,343,0,6000000,0.0,Lancar
1108,Pria,32,D1,Sudah menikah,Full-time,3,22500000.0,2023-07-15,16250000.0,25500000,19550000,59,6,Tidak tertagih,280,2,4000000,32500000.0,DPK
1109,Wanita,55,D3,Sudah menikah,Retired,4,15500000.0,2023-01-21,19291666.666666668,21500000,20850000,147,9,Tidak tertagih,127,2,4000000,38583333.333333336,Diragukan
1110,Pria,48,D1,Sudah menikah,Full-time,4,17500000.0,2023-05-31,17250000.0,26000000,14000000,154,9,Tidak tertagih,217,2,7000000,34500000.0,Diragukan
1111,Wanita,75,D3,Sudah menikah,Retired,3,10500000.0,2023-05-26,15208333.333333334,15000000,14100000,63,3,Tertagih,290,1,6000000,15208333.333333334,DPK
1112,Wanita,61,S1,Sudah menikah,Retired,2,18000000.0,2023-04-03,17541666.666666668,20000000,14600000,46,3,Tertagih,559,1,3500000,17541666.666666668,DPK
1113,Pria,72,D3,Sudah menikah,Retired,4,10500000.0,2023-05-06,15541666.666666666,13500000,11450000,65,7,Tidak tertagih,227,1,9500000,15541666.666666666,DPK
1114,Pria,30,SMA,Belum menikah,Contract,2,9700000.0,2023-02-05,14250000.0,12500000,7450000,105,9,Tidak tertagih,353,2,13000000,28500000.0,Kurang lancar
1115,Wanita,79,S1,Sudah menikah,Retired,3,13000000.0,2023-04-18,14125000.0,17000000,16200000,43,2,Tidak tertagih,469,1,8500000,14125000.0,DPK
1116,Pria,18,SMA,Belum menikah,Internship,1,4700000.0,2023-01-09,5291666.666666667,19500000,15350000,144,9,Tidak tertagih,40,2,19500000,10583333.333333334,Diragukan
1117,Pria,47,D2,Sudah menikah,Full-time,3,22500000.0,2023-09-07,20041666.666666668,3000000,2500000,92,5,Tidak tertagih,156,2,6500000,40083333.333333336,Kurang lancar
1118,Wanita,21,SMA,Belum menikah,Contract,1,12700000.0,2023-01-29,14541666.666666666,4000000,2900000,92,5,Tidak tertagih,477,3,7500000,43625000.0,Kurang lancar
1119,Wanita,41,D3,Sudah menikah,Full-time,4,17500000.0,2023-09-16,14750000.0,27500000,25950000,127,7,Tidak tertagih,128,3,9500000,44250000.0,Diragukan
1120,Pria,40,S2,Sudah menikah,Full-time,4,19000000.0,2023-03-18,13416666.666666666,4000000,3100000,29,2,Tertagih,368,1,14500000,13416666.666666666,DPK
1121,Pria,39,D2,Sudah menikah,Full-time,5,17500000.0,2023-01-15,19125000.0,29000000,28800000,88,6,Tidak tertagih,145,1,9500000,19125000.0,DPK
1122,Wanita,61,D1,Sudah menikah,Retired,4,10500000.0,2023-01-15,14541666.666666666,4000000,2100000,65,4,Tertagih,346,2,9500000,29083333.33333333,DPK
1123,Pria,64,D3,Sudah menikah,Retired,3,10500000.0,2023-01-27,12166666.666666666,13000000,12100000,20,1,Tidak tertagih,250,1,9000000,12166666.666666666,DPK
1124,Pria,32,S2,Sudah menikah,Full-time,4,19000000.0,2023-05-17,14750000.0,14500000,13950000,140,8,Tidak tertagih,244,3,11500000,44250000.0,Diragukan
1125,Wanita,56,S1,Sudah menikah,Retired,3,16000000.0,2023-09-16,15458333.333333334,8500000,6450000,104,9,Tidak tertagih,145,2,4000000,30916666.666666668,Kurang lancar
1126,Wanita,71,D2,Sudah menikah,Retired,3,10500000.0,2023-05-28,15375000.0,14000000,11300000,10,1,Tidak tertagih,226,0,6000000,0.0,DPK
1127,Wanita,51,D3,Sudah menikah,Retired,3,15500000.0,2023-01-31,14500000.0,14500000,8650000,167,10,Tidak tertagih,289,2,4000000,29000000.0,Diragukan
1128,Pria,36,S2,Sudah menikah,Full-time,4,24000000.0,2023-06-09,15666666.666666666,5000000,4100000,62,3,Tertagih,596,1,9500000,15666666.666666666,DPK
1129,Pria,39,S3,Sudah menikah,Contract,2,26000000.0,2023-05-21,33416666.666666668,37500000,30150000,72,5,Tidak tertagih,294,1,8500000,33416666.666666668,DPK
1130,Wanita,72,S1,Sudah menikah,Retired,3,18000000.0,2023-09-15,16041666.666666666,8000000,6400000,61,4,Tertagih,498,2,7500000,32083333.33333333,DPK
1131,Wanita,60,D3,Sudah menikah,Retired,5,15500000.0,2023-09-17,15666666.666666666,26000000,16700000,113,8,Tidak tertagih,293,1,3500000,15666666.666666666,Kurang lancar
1132,Pria,38,S1,Sudah menikah,Full-time,2,26000000.0,2023-03-18,35750000.0,30000000,19500000,56,3,Tertagih,671,1,9000000,35750000.0,DPK
1133,Pria,43,S1,Sudah menikah,Full-time,3,24000000.0,2023-08-01,15000000.0,23000000,21900000,24,3,Tertagih,567,0,4500000,0.0,DPK
1134,Wanita,54,D3,Sudah menikah,Retired,3,10500000.0,2023-08-31,14000000.0,5500000,2950000,75,5,Tertagih,211,1,8000000,14000000.0,DPK
1135,Wanita,62,D3,Sudah menikah,Retired,3,10500000.0,2023-02-08,14125000.0,12000000,8700000,36,2,Tidak tertagih,341,1,3000000,14125000.0,DPK
1136,Pria,67,D3,Sudah menikah,Retired,3,10500000.0,2023-01-02,14125000.0,7500000,6550000,12,1,Tertagih,303,0,17500000,0.0,DPK
1137,Pria,32,S1,Sudah menikah,Full-time,4,24000000.0,2023-04-03,18166666.666666668,25500000,19350000,81,5,Tidak tertagih,120,2,7000000,36333333.333333336,DPK
1138,Pria,32,D2,Sudah menikah,Full-time,5,25500000.0,2023-08-11,35250000.0,34000000,23700000,137,8,Tidak tertagih,130,2,6000000,70500000.0,Diragukan
1139,Pria,48,S1,Sudah menikah,Full-time,2,22000000.0,2023-05-14,17541666.666666668,23500000,18650000,58,4,Tertagih,653,1,4000000,17541666.666666668,DPK
1140,Pria,30,SMA,Belum menikah,Contract,1,8700000.0,2023-08-25,16125000.0,8500000,5250000,30,2,Tidak tertagih,221,1,4000000,16125000.0,DPK
1141,Pria,48,D2,Sudah menikah,Contract,4,17500000.0,2023-09-01,19041666.666666668,23000000,15300000,116,9,Tidak tertagih,161,2,8500000,38083333.333333336,Kurang lancar
1142,Pria,38,D3,Sudah menikah,Full-time,3,23500000.0,2023-03-14,17583333.333333332,12500000,7450000,18,1,Tertagih,554,1,9000000,17583333.333333332,DPK
1143,Pria,24,D1,Belum menikah,Full-time,0,15500000.0,2023-06-19,15750000.0,8500000,5250000,18,2,Tertagih,484,1,5500000,15750000.0,DPK
1144,Pria,18,SMA,Belum menikah,Contract,1,7700000.0,2023-06-19,14791666.666666666,11000000,10600000,77,5,Tertagih,390,2,17000000,29583333.33333333,DPK
1145,Pria,34,S1,Sudah menikah,Full-time,4,19000000.0,2023-05-01,12208333.333333334,8500000,8350000,0,0,Tertagih,481,0,7000000,0.0,Lancar
1146,Pria,50,D3,Sudah menikah,Retired,4,25500000.0,2023-03-24,34333333.333333336,36000000,21600000,114,7,Tidak tertagih,288,1,10000000,34333333.333333336,Kurang lancar
1147,Wanita,58,D1,Sudah menikah,Retired,3,20500000.0,2023-02-28,15791666.666666666,13000000,11800000,0,0,Tertagih,633,0,7500000,0.0,Lancar
1148,Wanita,70,S2,Sudah menikah,Retired,3,18000000.0,2023-07-18,15083333.333333334,24000000,23400000,126,7,Tidak tertagih,142,2,12500000,30166666.666666668,Diragukan
1149,Wanita,57,D3,Sudah menikah,Retired,3,15500000.0,2023-08-03,11833333.333333334,20500000,13750000,70,4,Tertagih,475,1,4500000,11833333.333333334,DPK
1150,Pria,40,S1,Sudah menikah,Full-time,4,24000000.0,2023-04-11,15458333.333333334,20000000,10800000,69,5,Tertagih,542,1,6000000,15458333.333333334,DPK
1151,Pria,50,D3,Sudah menikah,Retired,5,17500000.0,2023-03-16,18583333.33333333,14500000,12450000,121,8,Tidak tertagih,120,2,10000000,37166666.66666666,Diragukan
1152,Wanita,80,D3,Sudah menikah,Retired,3,15500000.0,2023-06-06,14000000.0,15000000,13600000,25,3,Tertagih,492,0,10500000,0.0,DPK
1153,Pria,31,D1,Belum menikah,Full-time,1,26500000.0,2023-07-15,34958333.333333336,34500000,25350000,51,3,Tertagih,615,1,8000000,34958333.333333336,DPK
1154,Wanita,41,D3,Sudah menikah,Full-time,4,17500000.0,2023-03-01,18541666.666666668,25500000,17250000,119,8,Tidak tertagih,112,3,10500000,55625000.0,Kurang lancar
1155,Pria,46,S2,Sudah menikah,Full-time,3,24000000.0,2023-01-23,14083333.333333334,14500000,10950000,40,3,Tertagih,584,1,12500000,14083333.333333334,DPK
1156,Wanita,64,S1,Sudah menikah,Retired,4,21000000.0,2023-01-06,18875000.0,20500000,17950000,175,10,Tidak tertagih,124,3,3500000,56625000.0,Diragukan
1157,Wanita,74,D1,Sudah menikah,Retired,3,15500000.0,2023-08-20,17791666.666666668,7500000,5650000,37,2,Tertagih,454,1,8000000,17791666.666666668,DPK
1158,Wanita,55,D1,Sudah menikah,Retired,3,10500000.0,2023-08-12,14458333.333333334,14500000,9950000,77,4,Tertagih,306,1,13000000,14458333.333333334,DPK
1159,Wanita,61,D2,Sudah menikah,Retired,4,18500000.0,2023-01-14,15500000.0,13500000,9450000,182,9,Tidak tertagih,131,3,9000000,46500000.0,Macet
1160,Wanita,78,S1,Sudah menikah,Retired,4,18000000.0,2023-07-06,16583333.333333334,10500000,8750000,138,7,Tidak tertagih,150,2,9500000,33166666.666666668,Diragukan
1161,Wanita,55,D1,Sudah menikah,Retired,5,15500000.0,2023-06-08,17083333.333333332,21500000,15250000,151,10,Tidak tertagih,190,2,9500000,34166666.666666664,Diragukan
1162,Pria,78,S1,Sudah menikah,Retired,2,13000000.0,2023-03-16,14416666.666666666,5000000,4900000,29,3,Tidak tertagih,331,1,15500000,14416666.666666666,DPK
1163,Wanita,60,D3,Sudah menikah,Retired,3,10500000.0,2023-05-27,14541666.666666666,15500000,10650000,40,2,Tidak tertagih,254,1,7000000,14541666.666666666,DPK
1164,Pria,21,SMA,Belum menikah,Contract,2,6700000.0,2023-04-29,13583333.333333334,6000000,3100000,41,2,Tertagih,422,1,14000000,13583333.333333334,DPK
1165,Pria,45,D3,Sudah menikah,Full-time,5,22500000.0,2023-07-02,17208333.333333332,2000000,1700000,91,4,Tidak tertagih,258,2,14500000,34416666.666666664,Kurang lancar
1166,Wanita,57,D3,Sudah menikah,Retired,3,15500000.0,2023-05-08,14750000.0,24000000,18200000,136,8,Tidak tertagih,290,2,11500000,29500000.0,Diragukan
1167,Wanita,77,D3,Sudah menikah,Retired,4,10500000.0,2023-06-03,15208333.333333334,18500000,16350000,37,2,Tidak tertagih,207,1,5000000,15208333.333333334,DPK
1168,Wanita,51,D3,Sudah menikah,Retired,4,15500000.0,2023-08-09,14166666.666666666,9500000,4750000,98,6,Tidak tertagih,128,1,9500000,14166666.666666666,Kurang lancar
1169,Wanita,58,D3,Sudah menikah,Retired,3,10500000.0,2023-01-29,14500000.0,12500000,6450000,34,3,Tertagih,346,1,5000000,14500000.0,DPK
1170,Pria,49,D3,Sudah menikah,Full-time,5,22500000.0,2023-01-04,14375000.0,7500000,5650000,78,4,Tertagih,587,1,5500000,14375000.0,DPK
1171,Pria,39,D3,Sudah menikah,Full-time,4,17500000.0,2023-06-15,10875000.0,16500000,10750000,19,1,Tertagih,440,1,5500000,10875000.0,DPK
1172,Wanita,57,S3,Sudah menikah,Retired,2,18000000.0,2023-08-12,15000000.0,23000000,12300000,84,6,Tidak tertagih,168,1,7500000,15000000.0,DPK
1173,Wanita,56,S1,Sudah menikah,Retired,3,18000000.0,2023-01-07,15208333.333333334,14500000,9250000,0,0,Tertagih,659,0,7000000,0.0,Lancar
1174,Pria,50,D3,Sudah menikah,Retired,4,17500000.0,2023-08-05,15500000.0,9000000,5700000,142,11,Tidak tertagih,170,1,5500000,15500000.0,Diragukan
1175,Wanita,59,D1,Sudah menikah,Retired,3,18500000.0,2023-05-28,16375000.0,16500000,10050000,14,1,Tertagih,552,0,9000000,0.0,DPK
1176,Pria,23,D3,Belum menikah,Contract,0,10500000.0,2023-03-15,16041666.666666666,5000000,3200000,50,3,Tertagih,388,2,6500000,32083333.33333333,DPK
1177,Pria,77,D3,Sudah menikah,Retired,5,10500000.0,2023-01-16,14291666.666666666,14500000,10250000,136,9,Tidak tertagih,214,2,7000000,28583333.33333333,Diragukan
1178,Pria,40,D3,Sudah menikah,Full-time,4,17500000.0,2023-04-18,13833333.333333334,26000000,15800000,139,8,Tidak tertagih,184,2,14000000,27666666.666666668,Diragukan
1179,Wanita,56,D3,Sudah menikah,Retired,5,10500000.0,2023-03-14,12708333.333333334,10500000,8950000,142,10,Tidak tertagih,283,2,3000000,25416666.666666668,Diragukan
1180,Pria,21,SMA,Belum menikah,Contract,1,13700000.0,2023-03-08,14083333.333333334,11000000,6700000,35,3,Tertagih,427,1,9000000,14083333.333333334,DPK
1181,Wanita,57,D1,Sudah menikah,Retired,3,18500000.0,2023-02-13,17291666.666666668,8000000,5300000,73,6,Tidak tertagih,284,1,9000000,17291666.666666668,DPK
1182,Pria,43,S1,Sudah menikah,Full-time,2,21000000.0,2023-07-28,13625000.0,19000000,16300000,40,3,Tertagih,383,1,8500000,13625000.0,DPK
1183,Pria,28,SMA,Belum menikah,Contract,3,14700000.0,2023-09-07,15500000.0,17500000,10450000,28,1,Tertagih,323,1,6500000,15500000.0,DPK
1184,Wanita,76,S3,Sudah menikah,Retired,2,13000000.0,2023-09-15,15208333.333333334,8000000,7400000,70,3,Tertagih,408,2,8000000,30416666.666666668,DPK
1185,Wanita,65,D3,Sudah menikah,Retired,4,10500000.0,2023-05-28,13250000.0,8500000,6550000,21,2,Tertagih,279,0,6000000,0.0,DPK
1186,Wanita,77,D2,Sudah menikah,Retired,3,15500000.0,2023-09-09,14208333.333333334,9000000,6200000,58,3,Tertagih,608,1,8500000,14208333.333333334,DPK
1187,Wanita,65,S1,Sudah menikah,Retired,4,18000000.0,2023-02-22,14416666.666666666,13500000,8250000,94,6,Tidak tertagih,275,1,6500000,14416666.666666666,Kurang lancar
1188,Wanita,60,S2,Sudah menikah,Retired,2,18000000.0,2023-02-12,12375000.0,23000000,13300000,26,2,Tertagih,501,1,8500000,12375000.0,DPK
1189,Pria,24,D1,Belum menikah,Part-time,0,10500000.0,2023-04-02,15916666.666666666,12500000,10050000,26,3,Tidak tertagih,310,1,7500000,15916666.666666666,DPK
1190,Pria,46,S1,Sudah menikah,Self-employed,3,27000000.0,2023-03-13,34791666.666666664,34500000,21650000,22,2,Tertagih,530,0,7500000,0.0,DPK
1191,Wanita,56,D3,Sudah menikah,Retired,3,20500000.0,2023-03-03,14375000.0,10000000,6900000,50,3,Tertagih,407,1,17500000,14375000.0,DPK
1192,Wanita,60,S1,Sudah menikah,Retired,3,13000000.0,2023-08-22,14958333.333333334,16000000,9300000,54,3,Tertagih,389,1,8500000,14958333.333333334,DPK
1193,Wanita,75,S3,Sudah menikah,Retired,2,21000000.0,2023-04-02,12875000.0,9500000,5750000,27,2,Tertagih,611,1,18000000,12875000.0,DPK
1194,Pria,43,S3,Sudah menikah,Full-time,4,25000000.0,2023-08-09,36041666.66666666,30000000,21500000,170,9,Tidak tertagih,465,4,6000000,144166666.66666666,Diragukan
1195,Wanita,68,S1,Sudah menikah,Retired,2,15000000.0,2023-08-07,18041666.666666668,28000000,25500000,155,10,Tidak tertagih,259,2,19500000,36083333.333333336,Diragukan
1196,Wanita,75,S2,Sudah menikah,Retired,3,18000000.0,2023-08-19,16375000.0,19500000,14650000,131,8,Tidak tertagih,226,2,13000000,32750000.0,Diragukan
1197,Pria,32,D1,Sudah menikah,Full-time,5,22500000.0,2023-06-23,12416666.666666666,6000000,5900000,73,4,Tertagih,397,2,4500000,24833333.33333333,DPK
1198,Wanita,58,D2,Sudah menikah,Retired,3,18500000.0,2023-08-25,14750000.0,12500000,7350000,34,3,Tidak tertagih,119,1,18500000,14750000.0,DPK
1199,Pria,79,S3,Sudah menikah,Retired,2,13000000.0,2023-04-19,16041666.666666666,7500000,6350000,26,3,Tertagih,398,0,11500000,0.0,DPK
1200,Wanita,80,D3,Sudah menikah,Retired,3,18500000.0,2023-08-06,13541666.666666666,20500000,19250000,32,3,Tertagih,664,1,6500000,13541666.666666666,DPK
1201,Pria,39,S2,Sudah menikah,Full-time,3,19000000.0,2023-04-19,14500000.0,1000000,900000,15,2,Tertagih,431,0,5000000,0.0,DPK
1202,Pria,46,D1,Sudah menikah,Full-time,3,17500000.0,2023-09-07,14291666.666666666,16000000,11200000,122,8,Tidak tertagih,226,2,4000000,28583333.33333333,Diragukan
1203,Pria,41,D3,Sudah menikah,Full-time,3,17500000.0,2023-05-26,12750000.0,5000000,3900000,49,3,Tertagih,424,1,8000000,12750000.0,DPK
1204,Pria,33,S1,Sudah menikah,Full-time,4,19000000.0,2023-06-24,9041666.666666666,6500000,5550000,46,4,Tertagih,316,1,9500000,9041666.666666666,DPK
1205,Wanita,76,D1,Sudah menikah,Retired,3,17500000.0,2023-08-30,16833333.333333332,24500000,18150000,38,2,Tertagih,566,1,16000000,16833333.333333332,DPK
1206,Wanita,75,D1,Sudah menikah,Retired,5,15500000.0,2023-05-24,17750000.0,16000000,9100000,82,7,Tidak tertagih,237,1,15500000,17750000.0,DPK
1207,Wanita,55,S2,Sudah menikah,Retired,2,13000000.0,2023-03-31,15666666.666666666,13000000,9700000,22,2,Tidak tertagih,424,1,5500000,15666666.666666666,DPK
1208,Wanita,69,D3,Sudah menikah,Retired,3,18500000.0,2023-06-15,8750000.0,1000000,700000,71,6,Tidak tertagih,142,2,19000000,17500000.0,DPK
1209,Pria,47,D3,Sudah menikah,Full-time,5,22500000.0,2023-05-06,17708333.333333332,22500000,15150000,136,10,Tidak tertagih,202,1,5000000,17708333.333333332,Diragukan
1210,Wanita,60,S3,Sudah menikah,Retired,4,18000000.0,2023-08-02,13125000.0,27500000,21550000,149,8,Tidak tertagih,134,2,9000000,26250000.0,Diragukan
1211,Wanita,71,S2,Sudah menikah,Retired,3,13000000.0,2023-05-19,13291666.666666666,6500000,3850000,43,2,Tertagih,494,1,5500000,13291666.666666666,DPK
1212,Pria,40,S1,Sudah menikah,Full-time,4,24000000.0,2023-01-28,19375000.0,11000000,9700000,92,6,Tidak tertagih,175,1,9000000,19375000.0,Kurang lancar
1213,Pria,35,D1,Sudah menikah,Full-time,3,22500000.0,2023-01-06,14916666.666666666,7000000,5100000,42,3,Tertagih,691,1,4500000,14916666.666666666,DPK
1214,Wanita,53,S1,Sudah menikah,Retired,4,18000000.0,2023-05-11,14833333.333333334,7000000,6300000,136,7,Tidak tertagih,117,2,9500000,29666666.666666668,Diragukan
1215,Wanita,42,D1,Sudah menikah,Full-time,4,17500000.0,2023-09-15,14375000.0,23500000,18650000,115,7,Tidak tertagih,160,4,4000000,57500000.0,Kurang lancar
1216,Wanita,71,D3,Sudah menikah,Retired,3,10500000.0,2023-04-09,16208333.333333334,6000000,3700000,1,1,Tidak tertagih,349,0,7000000,0.0,DPK
1217,Wanita,76,D1,Sudah menikah,Retired,4,15500000.0,2023-04-20,18250000.0,11000000,7900000,122,9,Tidak tertagih,232,1,8000000,18250000.0,Diragukan
1218,Wanita,65,S1,Sudah menikah,Retired,4,18000000.0,2023-07-19,15500000.0,22000000,16600000,163,8,Tidak tertagih,226,2,9000000,31000000.0,Diragukan
1219,Pria,33,D3,Sudah menikah,Full-time,4,22500000.0,2023-01-29,12625000.0,22500000,13950000,103,4,Tertagih,569,1,7500000,12625000.0,Kurang lancar
1220,Pria,64,D3,Sudah menikah,Retired,5,10500000.0,2023-09-03,14333333.333333334,4500000,3050000,143,10,Tidak tertagih,231,1,3000000,14333333.333333334,Diragukan
1221,Pria,44,S2,Sudah menikah,Full-time,2,26000000.0,2023-09-11,35416666.666666664,33500000,27850000,50,2,Tertagih,419,1,6000000,35416666.666666664,DPK
1222,Wanita,70,S1,Sudah menikah,Retired,3,21000000.0,2023-05-13,14916666.666666666,27500000,14950000,14,1,Tertagih,442,0,12000000,0.0,DPK
1223,Pria,78,D3,Sudah menikah,Retired,4,10500000.0,2023-07-26,13666666.666666666,17000000,10100000,23,2,Tertagih,323,1,14500000,13666666.666666666,DPK
1224,Pria,35,D2,Sudah menikah,Contract,4,17500000.0,2023-02-18,13000000.0,7000000,4400000,74,7,Tidak tertagih,203,1,11500000,13000000.0,DPK
1225,Pria,44,S1,Sudah menikah,Full-time,4,19000000.0,2023-07-04,13333333.333333334,11500000,10450000,12,1,Tertagih,500,0,9000000,0.0,DPK
1226,Wanita,23,SMA,Belum menikah,Internship,2,4700000.0,2023-09-09,5166666.666666667,8000000,7700000,74,5,Tidak tertagih,70,3,14500000,15500000.0,DPK
1227,Pria,75,D2,Sudah menikah,Retired,4,10500000.0,2023-01-02,14833333.333333334,4500000,2550000,30,2,Tertagih,336,1,7000000,14833333.333333334,DPK
1228,Pria,77,D2,Sudah menikah,Retired,4,10500000.0,2023-04-22,14833333.333333334,6500000,4650000,90,4,Tertagih,352,2,6000000,29666666.666666668,DPK
1229,Pria,48,S1,Sudah menikah,Full-time,3,24000000.0,2023-02-21,12125000.0,12500000,12350000,37,4,Tertagih,467,1,6000000,12125000.0,DPK
1230,Pria,34,S1,Sudah menikah,Contract,3,27000000.0,2023-01-07,35958333.333333336,36500000,22250000,31,2,Tertagih,600,1,13000000,35958333.333333336,DPK
1231,Pria,64,D3,Sudah menikah,Retired,4,10500000.0,2023-01-06,14833333.333333334,13500000,8350000,55,3,Tidak tertagih,349,1,29500000,14833333.333333334,DPK
