,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,time_to_collect,collector_gender,collector_marital_status,collector_age
333,surat panggilan,20,167000000,167000000,352469,100.0,8,laki-laki,Cerai hidup,36
334,surat panggilan,24,56500000,213000000,435023,27.0,6,perempuan,Menikah,48
335,surat panggilan,25,76500000,329500000,451436,23.0,6,perempuan,Cerai mati,42
336,surat panggilan,27,29000000,98500000,510398,28.999999999999996,8,laki-laki,Belum menikah,59
337,surat panggilan,35,158500000,448000000,362423,35.0,6,laki-laki,Belum menikah,36
338,surat panggilan,23,18500000,60500000,363675,31.0,7,perempuan,Belum menikah,42
339,surat panggilan,25,105000000,132000000,446068,80.0,9,laki-laki,Belum menikah,50
340,surat panggilan,23,20500000,47000000,466217,44.0,6,perempuan,Belum menikah,45
341,surat panggilan,32,89000000,96500000,398140,92.0,6,perempuan,Cerai hidup,25
342,surat panggilan,20,17500000,100500000,271033,17.0,7,perempuan,Menikah,49
343,surat panggilan,28,129500000,220000000,375997,59.0,6,laki-laki,Belum menikah,63
344,surat panggilan,27,53000000,62000000,508498,85.0,9,laki-laki,Belum menikah,49
345,surat panggilan,26,31500000,56000000,523065,56.00000000000001,9,perempuan,Belum menikah,46
346,surat panggilan,30,317000000,446000000,345567,71.0,9,laki-laki,Cerai hidup,53
347,surat panggilan,22,54500000,86000000,446887,63.0,7,perempuan,Cerai mati,33
348,surat panggilan,23,19500000,108500000,375757,18.0,6,laki-laki,Belum menikah,23
349,surat panggilan,31,151000000,202500000,340734,75.0,7,perempuan,Cerai hidup,38
350,surat panggilan,27,15500000,30000000,306189,52.0,7,perempuan,Cerai mati,45
351,surat panggilan,25,299000000,325000000,339020,92.0,8,laki-laki,Menikah,62
352,surat panggilan,39,53000000,215500000,778031,25.0,7,perempuan,Cerai hidup,38
353,surat panggilan,21,40500000,50500000,429390,80.0,8,perempuan,Belum menikah,41
354,surat panggilan,31,164500000,392000000,526511,42.0,6,perempuan,Belum menikah,27
355,surat panggilan,21,91500000,181000000,282712,51.0,8,perempuan,Belum menikah,26
356,surat panggilan,23,204500000,236000000,287079,87.0,8,perempuan,Cerai mati,49
357,surat panggilan,22,167000000,223500000,348306,75.0,7,perempuan,Cerai mati,30
358,surat panggilan,38,100000000,117500000,456306,85.0,8,perempuan,Menikah,25
359,surat panggilan,22,210500000,266000000,432960,79.0,6,laki-laki,Belum menikah,34
360,surat panggilan,24,58000000,59000000,459922,98.0,9,laki-laki,Belum menikah,43
361,surat panggilan,31,149000000,245000000,403167,61.0,7,laki-laki,Menikah,59
362,surat panggilan,28,65000000,97500000,283353,67.0,9,perempuan,Cerai mati,45
363,surat panggilan,31,66500000,170500000,430261,39.0,9,perempuan,Belum menikah,25
364,surat panggilan,22,52000000,301000000,332822,17.0,9,perempuan,Cerai hidup,29
365,surat panggilan,26,46500000,55500000,339148,84.0,6,laki-laki,Belum menikah,43
366,surat panggilan,35,161500000,390000000,697682,41.0,7,laki-laki,Menikah,37
367,surat panggilan,23,120500000,186500000,344464,65.0,6,perempuan,Belum menikah,27
368,surat panggilan,36,228000000,384500000,636095,59.0,9,laki-laki,Belum menikah,44
369,surat panggilan,25,114500000,180000000,395189,64.0,9,laki-laki,Cerai mati,27
370,surat panggilan,24,64000000,312000000,303555,21.0,6,perempuan,Belum menikah,32
371,surat panggilan,33,79000000,231000000,404232,34.0,8,perempuan,Belum menikah,41
372,surat panggilan,34,329500000,366000000,595246,90.0,6,laki-laki,Cerai hidup,61
373,surat panggilan,30,211000000,264500000,519234,80.0,7,laki-laki,Cerai hidup,28
374,surat panggilan,39,82500000,261500000,745017,32.0,7,perempuan,Cerai mati,25
375,surat panggilan,26,186500000,385000000,309329,48.0,7,perempuan,Belum menikah,30
376,surat panggilan,38,380000000,535000000,772515,71.0,7,laki-laki,Cerai mati,59
377,surat panggilan,34,53500000,310000000,406344,17.0,8,laki-laki,Cerai mati,54
378,surat panggilan,39,113000000,485500000,648474,23.0,9,perempuan,Menikah,33
379,surat panggilan,39,175500000,501000000,479094,35.0,8,laki-laki,Belum menikah,45
380,surat panggilan,27,28500000,353500000,329527,8.0,8,laki-laki,Cerai mati,47
381,surat panggilan,34,110500000,131500000,354709,84.0,8,perempuan,Belum menikah,59
382,surat panggilan,20,158000000,264000000,409605,60.0,8,laki-laki,Cerai hidup,47
383,surat panggilan,39,332000000,501500000,601894,66.0,6,laki-laki,Menikah,60
384,surat panggilan,26,283500000,354500000,455948,80.0,7,laki-laki,Cerai mati,53
385,surat panggilan,38,279500000,356000000,730130,79.0,7,laki-laki,Cerai mati,29
386,surat panggilan,32,75000000,286500000,632614,26.0,7,laki-laki,Menikah,34
387,surat panggilan,25,118500000,158500000,306088,75.0,9,perempuan,Belum menikah,23
388,surat panggilan,27,165000000,308500000,433271,53.0,7,laki-laki,Cerai hidup,27
389,surat panggilan,36,229500000,480500000,541001,48.0,6,laki-laki,Menikah,24
390,surat panggilan,38,322000000,502000000,553404,64.0,6,perempuan,Cerai hidup,40
391,surat panggilan,30,137000000,161500000,542030,85.0,6,perempuan,Cerai hidup,63
392,surat panggilan,23,46500000,271000000,287654,17.0,6,perempuan,Belum menikah,25
393,surat panggilan,38,106500000,183500000,612331,57.99999999999999,9,laki-laki,Menikah,32
394,surat panggilan,26,110500000,157000000,280767,70.0,6,perempuan,Belum menikah,61
395,surat panggilan,21,144500000,218500000,276640,66.0,6,laki-laki,Cerai hidup,46
396,surat panggilan,20,52500000,79500000,228560,66.0,7,perempuan,Cerai hidup,61
397,surat panggilan,28,134500000,175000000,561163,77.0,7,perempuan,Belum menikah,30
398,surat panggilan,30,64000000,84500000,377073,76.0,8,laki-laki,Cerai mati,31
399,surat panggilan,37,181000000,214000000,613501,85.0,9,laki-laki,Belum menikah,55
400,surat panggilan,28,131500000,291500000,408289,45.0,9,laki-laki,Cerai mati,45
401,surat panggilan,39,316000000,443500000,521232,71.0,9,perempuan,Belum menikah,23
402,surat panggilan,27,43000000,188500000,473843,23.0,9,laki-laki,Belum menikah,46
403,surat panggilan,27,102500000,212000000,410626,48.0,7,perempuan,Cerai hidup,37
404,surat panggilan,39,111000000,313000000,642450,35.0,7,perempuan,Menikah,30
405,surat panggilan,25,48500000,124500000,478257,39.0,7,perempuan,Belum menikah,31
406,surat panggilan,35,31000000,62000000,658272,50.0,8,laki-laki,Cerai hidup,31
407,surat panggilan,39,134000000,143000000,395229,94.0,9,perempuan,Belum menikah,59
408,surat panggilan,35,207500000,232500000,416016,89.0,9,laki-laki,Cerai mati,37
409,surat panggilan,28,179500000,321000000,492616,56.00000000000001,9,perempuan,Cerai mati,46
410,surat panggilan,20,84500000,166500000,363856,51.0,7,perempuan,Cerai hidup,33
411,surat panggilan,26,252500000,328500000,467077,77.0,8,perempuan,Menikah,30
412,surat panggilan,33,136500000,278000000,632038,49.0,7,laki-laki,Cerai mati,62
413,surat panggilan,22,25500000,109000000,376807,23.0,6,perempuan,Menikah,50
414,surat panggilan,30,124500000,349500000,549310,36.0,7,perempuan,Menikah,61
415,surat panggilan,28,170000000,371500000,308606,46.0,8,perempuan,Cerai hidup,39
416,surat panggilan,32,152000000,277000000,554894,55.00000000000001,6,perempuan,Cerai mati,48
417,surat panggilan,33,115000000,136500000,332365,84.0,6,perempuan,Menikah,27
418,surat panggilan,38,87500000,112500000,545647,78.0,6,laki-laki,Menikah,53
419,surat panggilan,29,21000000,114000000,416870,18.0,8,perempuan,Menikah,43
420,surat panggilan,33,155000000,168000000,558554,92.0,6,perempuan,Cerai hidup,37
421,surat panggilan,32,272500000,332500000,536362,82.0,8,laki-laki,Belum menikah,42
422,surat panggilan,37,35500000,43000000,568832,83.0,9,perempuan,Belum menikah,61
423,surat panggilan,38,114000000,166000000,680773,69.0,7,laki-laki,Menikah,34
424,surat panggilan,27,34000000,157000000,415014,22.0,7,laki-laki,Cerai hidup,48
425,surat panggilan,36,74500000,118500000,664869,63.0,8,laki-laki,Menikah,33
426,surat panggilan,33,32500000,119500000,527507,27.0,8,laki-laki,Cerai mati,45
427,surat panggilan,35,282000000,304500000,357136,93.0,9,laki-laki,Cerai mati,30
428,surat panggilan,22,97500000,250000000,282364,39.0,9,laki-laki,Cerai mati,33
429,surat panggilan,34,35500000,53500000,584657,66.0,7,laki-laki,Belum menikah,52
430,surat panggilan,22,98000000,237500000,409228,41.0,7,perempuan,Cerai hidup,46
431,surat panggilan,37,79500000,107500000,466829,74.0,9,perempuan,Menikah,25
432,surat panggilan,21,92500000,115500000,275622,80.0,8,perempuan,Menikah,43
433,surat panggilan,22,272500000,315000000,412006,87.0,7,perempuan,Menikah,26
434,surat panggilan,37,228000000,459500000,643108,50.0,9,perempuan,Belum menikah,53
435,surat panggilan,20,94000000,228500000,404417,41.0,7,laki-laki,Cerai hidup,51
436,surat panggilan,21,77500000,180500000,279747,43.0,9,perempuan,Cerai hidup,25
437,surat panggilan,37,80500000,120000000,506918,67.0,9,laki-laki,Menikah,56
438,surat panggilan,33,51500000,70500000,519013,73.0,7,laki-laki,Cerai hidup,41
439,surat panggilan,24,81000000,293500000,455988,28.000000000000004,7,perempuan,Cerai mati,49
440,surat panggilan,35,172500000,239500000,679808,72.0,6,perempuan,Cerai mati,28
441,surat panggilan,33,69000000,106000000,502433,65.0,9,laki-laki,Menikah,57
442,surat panggilan,31,58500000,200000000,524547,28.999999999999996,9,laki-laki,Menikah,56
443,surat panggilan,29,49000000,88000000,372409,56.00000000000001,8,laki-laki,Cerai mati,24
444,surat panggilan,32,38500000,97000000,386123,40.0,9,laki-laki,Belum menikah,49
445,surat panggilan,36,26500000,496500000,676776,5.0,6,laki-laki,Cerai hidup,47
446,surat panggilan,21,40000000,117500000,257673,34.0,9,laki-laki,Cerai hidup,38
447,surat panggilan,33,193000000,480000000,678313,40.0,9,laki-laki,Cerai mati,63
448,surat panggilan,26,153500000,185000000,273917,83.0,9,perempuan,Cerai hidup,55
449,surat panggilan,23,31000000,168000000,348726,18.0,7,laki-laki,Menikah,52
450,surat panggilan,34,80500000,210000000,613588,38.0,6,laki-laki,Cerai hidup,25
451,surat panggilan,22,254500000,321500000,261612,79.0,7,laki-laki,Cerai hidup,57
452,surat panggilan,25,12500000,258500000,392032,5.0,8,perempuan,Belum menikah,47
453,surat panggilan,31,340000000,357500000,364408,95.0,8,perempuan,Menikah,28
454,surat panggilan,33,173500000,254500000,591840,68.0,9,laki-laki,Cerai mati,40
455,surat panggilan,20,43000000,46000000,358953,93.0,8,perempuan,Belum menikah,51
456,surat panggilan,31,18500000,251500000,410719,7.000000000000001,7,laki-laki,Belum menikah,44
457,surat panggilan,27,60000000,89000000,442328,67.0,8,perempuan,Menikah,25
458,surat panggilan,27,142000000,245500000,516790,57.99999999999999,9,laki-laki,Belum menikah,48
459,surat panggilan,30,81000000,82500000,379948,98.0,8,laki-laki,Belum menikah,48
460,surat panggilan,23,163500000,229500000,311553,71.0,9,laki-laki,Menikah,23
461,surat panggilan,32,22500000,167500000,370722,13.0,7,perempuan,Cerai hidup,29
462,surat panggilan,24,24500000,150500000,319888,16.0,6,perempuan,Belum menikah,62
463,surat panggilan,33,51500000,62500000,674153,82.0,8,perempuan,Menikah,25
464,surat panggilan,30,84500000,95000000,428811,89.0,6,perempuan,Belum menikah,50
465,surat panggilan,22,11000000,40000000,363348,28.000000000000004,8,perempuan,Cerai hidup,31
466,surat panggilan,20,113000000,212000000,387483,53.0,6,perempuan,Cerai mati,59
467,surat panggilan,30,29500000,359500000,585960,8.0,7,perempuan,Cerai hidup,37
468,surat panggilan,31,117500000,123500000,390516,95.0,8,perempuan,Cerai hidup,53
469,surat panggilan,30,219500000,338500000,346263,65.0,7,perempuan,Cerai hidup,43
470,surat panggilan,28,114000000,317500000,457263,36.0,8,perempuan,Menikah,44
471,surat panggilan,33,52500000,57000000,679093,92.0,9,perempuan,Belum menikah,42
472,surat panggilan,37,85500000,379500000,682411,23.0,7,perempuan,Cerai hidup,60
473,surat panggilan,28,190000000,272500000,514094,70.0,8,perempuan,Cerai mati,62
474,surat panggilan,35,57500000,228500000,481319,25.0,6,laki-laki,Menikah,35
475,surat panggilan,32,192500000,455000000,596391,42.0,8,laki-laki,Menikah,32
476,surat panggilan,30,88500000,329500000,456726,27.0,9,laki-laki,Belum menikah,32
477,surat panggilan,24,101000000,103000000,279541,98.0,8,perempuan,Cerai hidup,57
478,surat panggilan,26,289000000,319500000,425421,90.0,8,laki-laki,Belum menikah,39
479,surat panggilan,20,52500000,153500000,418853,34.0,7,laki-laki,Belum menikah,51
480,surat panggilan,38,189500000,231500000,692645,82.0,8,laki-laki,Belum menikah,24
481,surat panggilan,22,247500000,306500000,228037,81.0,9,perempuan,Cerai hidup,53
482,surat panggilan,27,87000000,102500000,430933,85.0,6,laki-laki,Cerai hidup,23
483,surat panggilan,35,62500000,87000000,366518,72.0,6,laki-laki,Cerai mati,48
484,surat panggilan,24,37000000,227500000,409666,16.0,9,laki-laki,Cerai mati,40
485,surat panggilan,38,311000000,318500000,645331,98.0,8,laki-laki,Cerai hidup,24
486,surat panggilan,38,414000000,441500000,738671,94.0,6,laki-laki,Cerai hidup,44
487,surat panggilan,24,141500000,177000000,429205,80.0,8,perempuan,Cerai mati,53
488,surat panggilan,31,61000000,206500000,479397,30.0,9,perempuan,Belum menikah,58
489,surat panggilan,21,67000000,155500000,221697,43.0,9,perempuan,Cerai mati,30
490,surat panggilan,22,82500000,86000000,451071,96.0,9,laki-laki,Belum menikah,40
491,surat panggilan,35,31500000,96500000,351036,33.0,7,perempuan,Cerai mati,33
492,surat panggilan,22,110000000,112000000,369429,98.0,6,laki-laki,Menikah,31
493,surat panggilan,31,187000000,292500000,471364,64.0,7,perempuan,Belum menikah,49
494,surat panggilan,21,79000000,220000000,229104,36.0,9,laki-laki,Cerai hidup,26
495,surat panggilan,36,274000000,385500000,568398,71.0,9,laki-laki,Cerai mati,54
496,surat panggilan,20,41500000,98500000,321129,42.0,6,perempuan,Cerai hidup,63
497,surat panggilan,21,21500000,153000000,319802,14.000000000000002,7,laki-laki,Menikah,45
498,surat panggilan,26,61000000,324500000,322776,19.0,9,perempuan,Belum menikah,56
499,surat panggilan,27,160500000,397000000,518999,40.0,6,laki-laki,Menikah,37
500,surat panggilan,20,45000000,185500000,374954,24.0,8,laki-laki,Belum menikah,53
501,surat panggilan,28,49500000,73000000,360910,68.0,9,perempuan,Menikah,56
502,surat panggilan,23,19000000,43500000,471439,44.0,7,perempuan,Cerai mati,27
503,surat panggilan,27,200000000,387500000,518412,52.0,6,laki-laki,Belum menikah,26
504,surat panggilan,39,243500000,494000000,404713,49.0,9,laki-laki,Cerai hidup,52
505,surat panggilan,26,69500000,150500000,306044,46.0,6,perempuan,Cerai hidup,39
506,surat panggilan,35,63500000,343500000,697727,18.0,7,laki-laki,Cerai hidup,53
507,surat panggilan,36,101000000,410000000,412149,25.0,7,perempuan,Belum menikah,54
508,surat panggilan,22,32000000,60000000,423926,53.0,9,laki-laki,Cerai hidup,49
509,surat panggilan,26,49500000,230500000,398296,21.0,8,perempuan,Cerai hidup,41
510,surat panggilan,29,69500000,419500000,597845,17.0,6,perempuan,Cerai hidup,62
511,surat panggilan,29,177000000,260500000,508951,68.0,8,perempuan,Belum menikah,43
512,surat panggilan,35,75000000,143000000,538456,52.0,8,perempuan,Cerai mati,59
513,surat panggilan,29,287000000,386000000,347356,74.0,7,perempuan,Belum menikah,39
514,surat panggilan,28,57500000,344000000,382282,17.0,7,laki-laki,Cerai mati,59
515,surat panggilan,21,105500000,110000000,318639,96.0,9,laki-laki,Belum menikah,49
516,surat panggilan,39,193500000,282500000,607756,68.0,7,perempuan,Belum menikah,53
517,surat panggilan,21,66000000,71000000,321345,93.0,9,perempuan,Cerai hidup,31
518,surat panggilan,28,212000000,395000000,534738,54.0,9,perempuan,Cerai hidup,37
519,surat panggilan,20,15500000,34000000,250627,46.0,8,laki-laki,Belum menikah,41
520,surat panggilan,21,90500000,148000000,388222,61.0,7,perempuan,Cerai mati,52
521,surat panggilan,24,18500000,175500000,374773,11.0,9,perempuan,Cerai hidup,36
522,surat panggilan,39,38000000,135000000,776965,28.000000000000004,6,laki-laki,Cerai mati,27
523,surat panggilan,38,160500000,192500000,499836,83.0,7,perempuan,Menikah,24
524,surat panggilan,29,27000000,97000000,444665,28.000000000000004,6,laki-laki,Belum menikah,31
525,surat panggilan,23,28500000,106000000,344363,27.0,7,laki-laki,Menikah,34
526,surat panggilan,27,69000000,135500000,296908,51.0,8,perempuan,Cerai hidup,45
527,surat panggilan,30,412000000,439000000,553886,94.0,7,perempuan,Belum menikah,40
528,surat panggilan,29,49500000,74500000,522937,66.0,8,laki-laki,Cerai hidup,59
529,surat panggilan,26,93000000,107500000,304973,87.0,9,perempuan,Menikah,32
530,surat panggilan,35,119000000,150000000,539199,79.0,9,laki-laki,Belum menikah,31
531,surat panggilan,38,97500000,211500000,491297,46.0,7,laki-laki,Cerai mati,58
532,surat panggilan,31,31000000,86500000,322205,36.0,8,laki-laki,Menikah,29
533,surat panggilan,29,301500000,306500000,593664,98.0,6,perempuan,Cerai hidup,23
534,surat panggilan,38,52500000,104000000,637202,50.0,6,perempuan,Menikah,33
535,surat panggilan,28,47500000,279000000,577092,17.0,9,perempuan,Cerai hidup,59
536,surat panggilan,39,311000000,439000000,399823,71.0,7,perempuan,Belum menikah,50
537,surat panggilan,32,265000000,478000000,640666,55.00000000000001,9,laki-laki,Cerai mati,35
538,surat panggilan,32,186000000,434500000,388802,43.0,8,perempuan,Menikah,36
539,surat panggilan,23,166000000,218500000,251758,76.0,6,perempuan,Cerai mati,26
540,surat panggilan,36,44500000,100500000,714525,44.0,8,perempuan,Cerai mati,59
541,surat panggilan,38,141000000,394000000,586565,36.0,8,perempuan,Belum menikah,48
542,surat panggilan,30,50500000,162000000,351175,31.0,8,laki-laki,Menikah,23
543,surat panggilan,28,127000000,385500000,491355,33.0,8,laki-laki,Cerai mati,54
544,surat panggilan,30,45500000,110000000,328588,41.0,9,perempuan,Cerai hidup,49
545,surat panggilan,20,52500000,57000000,209432,92.0,6,laki-laki,Cerai mati,40
546,surat panggilan,26,30500000,33500000,430089,91.0,6,laki-laki,Menikah,55
547,surat panggilan,36,385500000,425000000,619920,91.0,7,laki-laki,Cerai hidup,25
548,surat panggilan,28,55000000,75500000,307383,73.0,6,laki-laki,Cerai mati,34
549,surat panggilan,33,16500000,432500000,379379,4.0,9,laki-laki,Cerai mati,50
550,panggilan,42,244000000,337000000,982391,72.0,14,perempuan,Cerai mati,51
551,panggilan,41,347000000,546500000,1074286,63.0,12,laki-laki,Belum menikah,42
552,panggilan,45,404000000,688500000,1554057,59.0,14,laki-laki,Menikah,32
553,panggilan,45,373000000,718500000,1787752,52.0,13,laki-laki,Menikah,43
554,panggilan,30,125000000,171000000,804690,73.0,11,perempuan,Belum menikah,62
555,panggilan,44,148000000,673000000,1589458,22.0,13,laki-laki,Belum menikah,31
556,panggilan,39,373000000,680500000,1171146,55.00000000000001,12,perempuan,Cerai hidup,61
557,panggilan,46,118000000,140000000,1615002,84.0,11,perempuan,Cerai hidup,47
558,panggilan,46,162000000,899000000,1397757,18.0,14,laki-laki,Cerai hidup,53
559,panggilan,31,32000000,350500000,634605,9.0,13,laki-laki,Menikah,32
560,panggilan,30,299000000,496000000,1024958,60.0,14,laki-laki,Cerai mati,59
561,panggilan,36,273000000,710000000,1075995,38.0,11,perempuan,Cerai hidup,56
562,panggilan,37,433000000,631500000,1099231,69.0,13,perempuan,Belum menikah,44
563,panggilan,36,288000000,658000000,721334,44.0,13,laki-laki,Cerai hidup,29
564,panggilan,44,370000000,516000000,1030712,72.0,13,perempuan,Menikah,40
565,panggilan,46,214000000,414000000,1662889,52.0,14,laki-laki,Cerai mati,53
566,panggilan,48,450000000,814000000,992997,55.00000000000001,11,perempuan,Cerai hidup,58
567,panggilan,47,404000000,682500000,1083621,59.0,13,laki-laki,Belum menikah,57
568,panggilan,30,279000000,540000000,631098,52.0,14,perempuan,Belum menikah,54
569,panggilan,33,570000000,605500000,988802,94.0,14,laki-laki,Menikah,28
570,panggilan,44,122000000,252000000,1738508,48.0,11,laki-laki,Belum menikah,46
571,panggilan,48,99000000,256000000,1373514,39.0,14,perempuan,Belum menikah,60
572,panggilan,31,474000000,560500000,652453,85.0,12,laki-laki,Menikah,53
573,panggilan,42,395000000,641000000,883248,62.0,14,laki-laki,Belum menikah,41
574,panggilan,32,331000000,377000000,649309,88.0,11,laki-laki,Cerai mati,25
575,panggilan,47,467000000,673500000,943919,69.0,13,laki-laki,Cerai mati,26
576,panggilan,33,137000000,261500000,845355,52.0,14,perempuan,Belum menikah,60
577,panggilan,49,209000000,335500000,1933137,62.0,14,perempuan,Cerai mati,43
578,panggilan,46,47000000,193000000,1421979,24.0,11,perempuan,Belum menikah,61
579,panggilan,41,259000000,735500000,917013,35.0,13,laki-laki,Belum menikah,45
580,panggilan,32,88000000,155000000,661073,56.99999999999999,14,laki-laki,Cerai hidup,40
581,panggilan,48,61000000,99000000,1210386,62.0,11,perempuan,Menikah,55
582,panggilan,40,79000000,140000000,894778,56.00000000000001,14,perempuan,Belum menikah,24
583,panggilan,40,125000000,442000000,1311793,28.000000000000004,11,perempuan,Menikah,30
584,panggilan,46,93000000,117000000,1008090,79.0,14,perempuan,Cerai mati,29
585,panggilan,34,202000000,250000000,990586,81.0,11,laki-laki,Menikah,52
586,panggilan,41,48000000,311500000,1258994,15.0,14,laki-laki,Cerai mati,26
587,panggilan,45,317000000,527500000,1361007,60.0,13,laki-laki,Menikah,23
588,panggilan,48,112000000,124000000,1783448,90.0,12,laki-laki,Cerai hidup,58
589,panggilan,38,358000000,501000000,1261693,71.0,13,perempuan,Cerai mati,36
590,panggilan,44,153000000,864000000,1550435,18.0,14,laki-laki,Belum menikah,39
591,panggilan,49,185000000,648500000,1182193,28.999999999999996,11,laki-laki,Belum menikah,48
592,panggilan,35,50000000,52500000,1326159,95.0,13,perempuan,Cerai mati,62
593,panggilan,45,80000000,211500000,1298930,38.0,14,perempuan,Menikah,59
594,panggilan,32,149000000,251000000,897809,59.0,14,perempuan,Cerai mati,41
595,panggilan,39,216000000,330500000,794578,65.0,12,perempuan,Cerai mati,63
596,panggilan,49,159000000,184500000,1934347,86.0,13,perempuan,Menikah,26
597,panggilan,35,185000000,316500000,1289053,57.99999999999999,11,perempuan,Cerai mati,36
598,panggilan,44,100000000,856000000,920808,12.0,13,perempuan,Cerai mati,24
599,panggilan,47,525000000,914500000,1751428,56.99999999999999,12,laki-laki,Cerai mati,61
600,panggilan,33,566000000,565500000,1019367,100.0,14,perempuan,Cerai hidup,55
601,panggilan,38,329000000,516000000,1434137,64.0,14,perempuan,Cerai hidup,50
602,panggilan,36,82000000,141000000,1236144,57.99999999999999,12,perempuan,Cerai mati,24
603,panggilan,32,229000000,422000000,1141351,54.0,11,perempuan,Cerai mati,33
604,panggilan,48,124000000,352000000,1373732,35.0,11,perempuan,Belum menikah,33
605,panggilan,34,37000000,548000000,835787,7.000000000000001,13,perempuan,Cerai hidup,29
606,panggilan,42,151000000,577000000,1083575,26.0,11,perempuan,Cerai mati,23
607,panggilan,44,371000000,600000000,1024177,62.0,11,perempuan,Cerai mati,30
608,panggilan,38,195000000,250000000,1054901,78.0,13,perempuan,Belum menikah,34
609,panggilan,35,51000000,449500000,878246,11.0,13,perempuan,Cerai mati,34
610,panggilan,40,292000000,483000000,1368795,60.0,13,perempuan,Cerai hidup,57
611,panggilan,41,101000000,450500000,1508568,22.0,11,perempuan,Belum menikah,36
612,panggilan,46,403000000,539000000,1694210,75.0,12,perempuan,Menikah,50
613,panggilan,33,44000000,54500000,1063546,81.0,14,laki-laki,Belum menikah,31
614,panggilan,34,36000000,241000000,1387161,15.0,11,perempuan,Belum menikah,24
615,panggilan,38,79000000,740000000,814680,11.0,13,perempuan,Menikah,44
616,panggilan,46,571000000,629000000,1778762,91.0,12,perempuan,Cerai hidup,57
617,panggilan,49,151000000,973500000,1591075,16.0,13,perempuan,Menikah,32
618,panggilan,33,373000000,419500000,876615,89.0,13,laki-laki,Belum menikah,46
619,panggilan,45,142000000,242500000,1245892,59.0,12,perempuan,Cerai hidup,63
620,panggilan,43,75000000,91500000,1051268,82.0,11,perempuan,Cerai hidup,48
621,panggilan,32,112000000,542000000,850741,21.0,12,laki-laki,Cerai mati,52
622,panggilan,32,195000000,620000000,814745,31.0,13,laki-laki,Menikah,37
623,panggilan,37,116000000,732500000,1089016,16.0,14,perempuan,Menikah,40
624,panggilan,40,163000000,221000000,1126115,74.0,14,perempuan,Menikah,28
625,panggilan,43,422000000,705500000,1139254,60.0,11,laki-laki,Cerai mati,50
626,panggilan,32,228000000,275000000,1156180,83.0,13,laki-laki,Cerai mati,54
627,panggilan,40,133000000,354000000,844077,38.0,11,laki-laki,Cerai mati,48
628,panggilan,37,333000000,461500000,1508111,72.0,11,laki-laki,Cerai hidup,40
629,panggilan,40,120000000,469000000,1218793,26.0,12,perempuan,Cerai hidup,38
630,panggilan,32,114000000,531000000,732119,21.0,14,laki-laki,Menikah,28
631,panggilan,36,345000000,637000000,1055692,54.0,14,laki-laki,Cerai mati,61
632,panggilan,43,734000000,849500000,1260842,86.0,12,laki-laki,Belum menikah,29
633,panggilan,36,452000000,586000000,775365,77.0,14,perempuan,Belum menikah,23
634,panggilan,42,100000000,349000000,1634221,28.999999999999996,11,laki-laki,Cerai hidup,46
635,panggilan,32,142000000,602000000,868446,24.0,13,perempuan,Cerai mati,45
636,panggilan,33,117000000,126500000,1059480,92.0,11,laki-laki,Belum menikah,54
637,panggilan,47,146000000,712500000,1402063,20.0,12,perempuan,Belum menikah,59
638,panggilan,45,283000000,876500000,970350,32.0,11,laki-laki,Cerai hidup,57
639,panggilan,35,229000000,384500000,1252235,60.0,12,perempuan,Belum menikah,63
640,panggilan,49,157000000,822500000,1960036,19.0,11,perempuan,Belum menikah,36
641,panggilan,31,129000000,148500000,673939,87.0,13,perempuan,Menikah,36
642,panggilan,38,132000000,322000000,1054419,41.0,14,perempuan,Menikah,58
643,panggilan,39,185000000,362500000,1188576,51.0,14,laki-laki,Menikah,32
644,panggilan,37,96000000,105500000,1482944,91.0,11,perempuan,Cerai mati,47
645,panggilan,40,306000000,705000000,1624369,43.0,12,perempuan,Belum menikah,25
646,panggilan,39,164000000,496500000,1288091,33.0,12,perempuan,Cerai mati,54
647,panggilan,43,312000000,349500000,1600718,89.0,12,perempuan,Menikah,53
648,panggilan,40,126000000,548000000,1353700,23.0,12,perempuan,Belum menikah,46
649,panggilan,48,159000000,187000000,1568172,85.0,13,laki-laki,Menikah,47
650,panggilan,36,161000000,443000000,1452322,36.0,12,laki-laki,Belum menikah,24
651,panggilan,42,167000000,271000000,1340451,62.0,14,laki-laki,Cerai hidup,26
652,panggilan,48,252000000,382000000,1376259,66.0,14,laki-laki,Cerai hidup,34
653,panggilan,45,81000000,287500000,1344980,28.000000000000004,14,laki-laki,Menikah,37
654,panggilan,34,167000000,586000000,814946,28.000000000000004,14,perempuan,Cerai mati,55
655,panggilan,48,180000000,190000000,1947746,95.0,14,laki-laki,Cerai hidup,32
656,panggilan,49,276000000,560500000,1527157,49.0,13,perempuan,Menikah,49
657,panggilan,42,369000000,548000000,1438676,67.0,11,laki-laki,Cerai hidup,46
658,panggilan,46,173000000,620000000,1059303,28.000000000000004,12,laki-laki,Cerai mati,40
659,panggilan,30,258000000,373000000,959775,69.0,12,laki-laki,Cerai mati,27
660,panggilan,38,67000000,291000000,945496,23.0,13,perempuan,Cerai mati,47
661,panggilan,42,321000000,668000000,938762,48.0,13,laki-laki,Menikah,40
662,panggilan,32,94000000,478000000,1044573,20.0,11,laki-laki,Cerai mati,43
